,ListingId,借款金额,借款期限,借款利率,借款成功日期,初始评级,借款类型,是否首标,年龄,性别,手机认证,户口认证,视频认证,学历认证,征信认证,淘宝认证,历史成功借款次数,历史成功借款金额,总待还本金,历史正常还款期数,历史逾期还款期数,我的投资金额,当前到期期数,当前还款期数,已还本金,已还利息,待还本金,待还利息,标当前逾期天数,标当前状态,上次还款日期,上次还款本金,上次还款利息,下次计划还款日期,下次计划还款本金,下次计划还款利息
0,8107879,8000,12,20.0,2016/1/27,B,普通,否,33,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,11620.0,2794.32,19,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/1/21,4.61,0.02,,,
1,19130784,5466,12,18.0,2016/9/4,B,其他,否,31,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,11909.0,6533.63,14,0,50,2,2,7.72,1.44,42.28,3.56,0,正常还款中,2016/11/4,3.89,0.69,2016/12/4,3.95,0.64
2,2602808,3000,12,12.0,2015/5/30,AA,普通,是,47,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,1000,12,11,1000.0,63.47,0.0,0.0,0,已还清,2016/2/29,175.11,0.0,,,
3,8662527,3244,8,20.0,2016/2/17,C,其他,否,26,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,3.0,10698.0,6755.59,10,0,50,7,7,43.35,3.69,6.65,0.07,0,正常还款中,2016/9/11,6.5,0.22,2016/10/17,6.65,0.07
4,14715867,2564,6,18.0,2016/6/28,B,APP闪电,否,27,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,4500.0,1935.06,7,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/12/25,8.65,0.12,,,
5,11398905,5000,12,22.0,2016/4/25,D,普通,是,26,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,52,5,4,16.07,3.37,35.93,2.95,6,逾期中,2016/8/25,4.13,0.73,2016/9/25,4.2,0.66
6,12263768,8026,12,18.0,2016/5/15,B,APP闪电,否,31,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,1610.0,273.92,5,0,50,7,7,28.04,4.02,21.96,0.94,0,正常还款中,2016/12/12,4.19,0.39,2017/1/15,4.25,0.33
7,19633113,3669,6,18.0,2016/9/17,B,APP闪电,否,23,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,2.0,8109.0,4930.29,7,0,50,2,3,24.44,1.88,25.56,0.77,0,正常还款中,2016/11/29,8.27,0.5,2017/1/17,8.39,0.39
8,8399279,9500,12,18.0,2016/2/4,B,其他,是,35,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,8,8,32.29,4.35,17.71,0.61,0,正常还款中,2016/10/5,4.25,0.33,2016/11/4,4.31,0.27
9,23559525,6400,6,20.0,2016/10/31,C,其他,否,29,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,7500.0,2583.07,3,1,58,0,0,0.0,0.0,58.0,3.42,0,正常还款中,,,,2016/11/30,9.27,0.96
10,20787591,5833,12,18.0,2016/9/26,B,其他,否,33,男,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,5500.0,3166.18,4,0,50,3,3,11.67,2.08,38.33,2.92,0,正常还款中,2016/12/16,3.95,0.64,2017/1/26,4.01,0.57
11,17694147,2071,10,20.0,2016/8/15,C,其他,否,33,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,15108.0,7228.53,16,1,51,4,5,24.44,3.45,26.56,1.33,0,正常还款中,2016/12/19,5.05,0.53,2017/2/15,5.14,0.44
12,11690519,4500,12,18.0,2016/5/2,B,其他,否,44,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,11122.0,6482.28,9,0,50,5,6,23.85,3.63,26.15,0.39,0,正常还款中,2016/10/27,4.13,0.45,2016/12/2,4.19,0.39
13,7740404,18000,12,20.0,2016/1/22,C,普通,否,36,女,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,5.0,32529.0,11712.42,26,0,50,12,12,50.0,5.56,0.0,0.0,0,已还清,2017/1/16,4.61,0.02,,,
14,13449670,1340,6,18.0,2016/6/9,B,APP闪电,否,24,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,3.0,8420.0,6859.71,7,0,50,6,6,50.0,2.65,0.0,0.0,0,已还清,2016/11/15,8.65,0.12,,,
15,15349577,7000,12,11.5,2016/7/9,AA,普通,是,26,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,200,7,7,113.87,10.19,86.13,2.48,0,正常还款中,2017/2/6,16.74,0.99,2017/3/9,16.9,0.82
16,8109169,1613,12,20.0,2016/1/27,C,普通,否,22,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,1500.0,1272.14,2,0,50,8,8,32.18,4.86,17.82,0.7,0,正常还款中,2016/9/27,4.26,0.37,2016/10/27,4.33,0.3
17,3596182,5500,6,10.5,2015/8/10,AA,普通,是,30,男,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,80,6,6,80.0,2.44,0.0,0.0,0,已还清,2016/2/9,13.65,0.09,,,
18,8415841,3144,6,20.0,2016/2/3,C,普通,否,30,女,成功认证,成功认证,成功认证,成功认证,未成功认证,未成功认证,7.0,53732.0,14855.38,23,0,50,6,1,50.0,0.55,0.0,0.0,0,已还清,2016/2/24,50.0,0.55,,,
19,13494921,1172,12,16.0,2016/6/13,A,APP闪电,否,29,男,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,7000.0,5927.58,2,0,100,3,3,23.52,3.69,76.48,5.18,0,正常还款中,2016/9/12,7.94,1.13,2016/10/13,8.06,1.02
20,8507059,2700,6,20.0,2016/2/15,C,APP闪电,否,28,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,1.0,2020.0,0.0,3,0,50,6,6,50.0,2.92,0.0,0.0,0,已还清,2016/8/13,8.71,0.11,,,
21,15990379,5000,12,18.0,2016/7/21,B,普通,是,22,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,50,4,4,15.68,2.65,34.32,2.35,0,正常还款中,2016/11/6,4.01,0.57,2016/12/21,4.07,0.51
22,18053836,2899,12,22.0,2016/8/19,C,普通,否,22,女,成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,8.0,15542.0,5863.58,46,1,55,1,1,4.13,1.01,50.87,5.76,0,正常还款中,2016/9/11,4.13,1.01,2016/10/19,4.22,0.93
23,27174973,5892,12,20.0,2016/12/9,C,其他,否,32,女,未成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,1.0,6000.0,4107.96,3,0,58,0,0,0.0,0.0,58.0,6.47,0,正常还款中,,,,2017/1/9,4.4,0.97
24,14839881,4844,6,18.0,2016/6/30,B,其他,否,35,女,成功认证,未成功认证,未成功认证,成功认证,未成功认证,未成功认证,2.0,10500.0,3655.08,13,0,50,3,3,24.44,1.88,25.56,0.77,0,正常还款中,2016/9/29,8.27,0.5,2016/10/30,8.39,0.39
25,9783430,3500,6,10.0,2016/3/18,AA,普通,是,26,男,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,未成功认证,0.0,0.0,0.0,0,0,500,6,6,500.0,14.68,0.0,0.0,0,已还清,2016/9/17,85.09,0.69,,,
