date,sales,ads_fee,,
2019/8/1,122,4.77 ,,
2019/8/2,124,4.88 ,,
2019/8/3,109,3.49 ,,
2019/8/4,119,4.50 ,,
2019/8/5,141,6.81 ,,
2019/8/6,136,13.42 ,,
2019/8/7,120,14.98 ,,
2019/8/8,137,6.50 ,,
2019/8/9,110,9.50 ,,
2019/8/10,131,8.76 ,,
2019/8/11,149,9.50 ,,
2019/8/12,140,12.20 ,,
2019/8/13,145,47.21 ,,
2019/8/14,116,18.12 ,,
2019/8/15,102,9.00 ,,
2019/8/16,132,9.00 ,,
2019/8/17,109,2.43 ,,
2019/8/18,128,13.89 ,,
2019/8/19,161,12.33 ,,
2019/8/20,164,12.78 ,,
2019/8/21,160,9.29 ,,
2019/8/22,165,10.04 ,,
2019/8/23,148,10.39 ,,
2019/8/24,129,11.51 ,,
2019/8/25,145,9.46 ,,
2019/8/26,166,17.03 ,,
2019/8/27,179,17.34 ,,
2019/8/28,183,13.68 ,,
2019/8/29,144,18.88 ,,
2019/8/30,172,12.18 ,,
2019/8/31,162,16.93 ,,
2019/9/1,205,28.61 ,,
2019/9/2,253,20.24 ,,
2019/9/3,258,23.89 ,,
2019/9/4,304,24.76 ,,
2019/9/5,309,25.17 ,,
2019/9/6,325,21.70 ,,
2019/9/7,321,21.47 ,,
2019/9/8,328,22.81 ,,
2019/9/9,372,24.01 ,,
2019/9/10,357,29.02 ,,
2019/9/11,323,27.07 ,,
2019/9/12,272,17.46 ,,
2019/9/13,252,13.86 ,,
2019/9/14,286,18.96 ,,
2019/9/15,329,31.56 ,,
2019/9/16,346,27.08 ,,
2019/9/17,332,21.38 ,,
2019/9/18,327,21.23 ,,
2019/9/19,307,23.82 ,,
2019/9/20,267,14.65 ,,
2019/9/21,270,15.06 ,,
2019/9/22,323,11.63 ,,
2019/9/23,352,12.36 ,,
2019/9/24,387,12.58 ,,
2019/9/25,316,13.81 ,,
2019/9/26,346,31.24 ,,
2019/9/27,280,16.67 ,,
2019/9/28,272,16.89 ,,
2019/9/29,250,42.44 ,,
2019/9/30,188,18.48 ,,
2019/10/1,157,30.60 ,,
2019/10/2,198,16.48 ,,
2019/10/3,206,31.72 ,,
2019/10/4,234,10.22 ,,
2019/10/5,226,13.54 ,,
2019/10/6,247,14.32 ,,
2019/10/7,285,14.63 ,,
2019/10/8,352,11.50 ,,
2019/10/9,384,36.21 ,,
2019/10/10,316,32.28 ,,
2019/10/11,291,33.38 ,,
2019/10/12,257,49.35 ,,
2019/10/13,289,36.48 ,,
2019/10/14,331,37.31 ,,
2019/10/15,276,39.51 ,,
2019/10/16,274,18.57 ,,
2019/10/17,259,28.81 ,,
2019/10/18,210,15.65 ,,
2019/10/19,233,36.05 ,,
2019/10/20,253,23.60 ,,
2019/10/21,300,20.23 ,,
2019/10/22,267,24.40 ,,
2019/10/23,290,24.83 ,,
2019/10/24,273,21.56 ,,
2019/10/25,215,22.29 ,,
2019/10/26,198,22.44 ,,
2019/10/27,296,23.51 ,,
2019/10/28,225,29.96 ,,
2019/10/29,248,16.84 ,,
2019/10/30,250,40.31 ,,
2019/10/31,218,17.88 ,,
2019/11/1,180,18.98 ,,
2019/11/2,211,29.31 ,,
2019/11/3,242,16.07 ,,
2019/11/4,232,33.33 ,,
2019/11/5,258,10.25 ,,
2019/11/6,231,13.97 ,,
2019/11/7,220,14.94 ,,
2019/11/8,203,15.40 ,,
2019/11/9,220,11.75 ,,
2019/11/10,222,12.59 ,,
2019/11/11,299,12.88 ,,
2019/11/12,253,14.13 ,,
2019/11/13,260,32.71 ,,
2019/11/14,238,17.32 ,,
2019/11/15,220,17.77 ,,
2019/11/16,218,44.62 ,,
2019/11/17,241,19.26 ,,
2019/11/18,263,32.09 ,,
2019/11/19,264,17.35 ,,
2019/11/20,239,26.77 ,,
2019/11/21,227,13.92 ,,
2019/11/22,190,1.25 ,,
2019/11/23,205,5.89 ,,
2019/11/24,207,6.39 ,,
2019/11/25,215,2.75 ,,
2019/11/26,197,3.58 ,,
2019/11/27,222,3.84 ,,
2019/11/28,184,5.14 ,,
2019/11/29,160,32.72 ,,
2019/11/30,166,17.27 ,,
2019/12/1,219,17.71 ,,
2019/12/2,228,44.44 ,,
2019/12/3,186,19.19 ,,
2019/12/4,242,31.99 ,,
2019/12/5,240,17.28 ,,
2019/12/6,196,27.03 ,,
2019/12/7,185,13.90 ,,
2019/12/8,217,5.25 ,,
2019/12/9,208,9.84 ,,
2019/12/10,209,10.34 ,,
2019/12/11,182,6.72 ,,
2019/12/12,216,7.55 ,,
2019/12/13,196,7.81 ,,
2019/12/14,198,9.07 ,,
2019/12/15,192,32.42 ,,
2019/12/16,228,17.20 ,,
2019/12/17,198,17.70 ,,
2019/12/18,204,43.97 ,,
2019/12/19,187,19.11 ,,
2019/12/20,137,31.67 ,,
2019/12/21,170,17.12 ,,
2019/12/22,203,27.79 ,,
2019/12/23,235,7.88 ,,
2019/12/24,206,4.25 ,,
2019/12/25,190,8.76 ,,
2019/12/26,181,9.28 ,,
2019/12/27,189,5.70 ,,
2019/12/28,168,6.50 ,,
2019/12/29,203,6.70 ,,
2019/12/30,166,8.02 ,,
2019/12/31,98,32.07 ,,
2020/1/1,234,17.10 ,,
2020/1/2,240,17.67 ,,
2020/1/3,204,43.27 ,,
2020/1/4,171,19.13 ,,
2020/1/5,220,31.28 ,,
2020/1/6,188,16.91 ,,
2020/1/7,191,28.81 ,,
2020/1/8,184,20.13 ,,
2020/1/9,169,23.66 ,,
2020/1/10,170,24.47 ,,
2020/1/11,171,24.89 ,,
2020/1/12,163,21.47 ,,
2020/1/13,159,22.24 ,,
2020/1/14,153,22.35 ,,
2020/1/15,174,23.64 ,,
2020/1/16,162,40.70 ,,
2020/1/17,173,26.53 ,,
2020/1/18,155,26.84 ,,
2020/1/19,171,41.32 ,,
2020/1/20,151,18.50 ,,
2020/1/21,158,29.73 ,,
2020/1/22,167,16.11 ,,
2020/1/23,122,33.03 ,,
2020/1/24,68,13.41 ,,
2020/1/25,111,20.12 ,,
2020/1/26,160,24.07 ,,
