Date,Confirmed,Deaths,Recovered,Active
2020/1/22,555,17,28,510
2020/1/23,654,18,30,606
2020/1/24,941,26,36,879
2020/1/25,1434,42,39,1353
2020/1/26,2118,56,52,2010
2020/1/27,2927,82,61,2784
2020/1/28,5578,131,107,5340
2020/1/29,6166,133,125,5908
2020/1/30,8234,171,141,7922
2020/1/31,9927,213,219,9495
2020/2/1,12038,259,281,11498
2020/2/2,16787,362,459,15966
2020/2/3,19887,426,604,18857
2020/2/4,23898,492,821,22585
2020/2/5,27643,564,1071,26008
2020/2/6,30802,634,1418,28750
2020/2/7,34334,719,1903,31712
2020/2/8,37068,806,2470,33792
2020/2/9,40095,906,3057,36132
2020/2/10,42633,1013,3714,37906
2020/2/11,44675,1113,4417,39145
2020/2/12,46561,1118,4849,40594
2020/2/13,60206,1371,5930,52905
2020/2/14,66690,1523,7613,57554
2020/2/15,68765,1666,8902,58197
2020/2/16,70879,1770,10319,58790
2020/2/17,72815,1868,11951,58996
2020/2/18,74609,2008,13693,58908
2020/2/19,75030,2123,15394,57513
2020/2/20,75577,2246,17369,55962
2020/2/21,76206,2250,17966,55990
2020/2/22,77967,2457,21849,53661
2020/2/23,78290,2467,22304,53519
2020/2/24,78854,2627,24047,52180
2020/2/25,79707,2707,26652,50348
2020/2/26,80670,2767,29077,48826
2020/2/27,82034,2810,31919,47305
2020/2/28,83411,2867,35306,45238
2020/2/29,85306,2936,38314,44056
2020/3/1,87690,2990,41208,43492
2020/3/2,89664,3079,44085,42500
2020/3/3,92241,3154,46681,42406
2020/3/4,94540,3249,49619,41672
2020/3/5,97331,3342,52237,41752
2020/3/6,101274,3454,54270,43550
2020/3/7,105312,3553,56760,44999
2020/3/8,109266,3797,59092,46377
2020/3/9,113166,3981,60891,48294
2020/3/10,118190,4260,62802,51128
2020/3/11,125853,4604,65113,56136
2020/3/12,131603,4909,66434,60260
2020/3/13,146008,5406,68359,72243
2020/3/14,157114,5823,70729,80562
2020/3/15,168260,6464,74139,87657
2020/3/16,182919,7144,76192,99583
2020/3/17,198757,7948,78944,111865
2020/3/18,218343,8845,81427,128071
2020/3/19,246261,9951,83064,153246
2020/3/20,275869,11429,85509,178931
2020/3/21,308175,13134,89775,205266
2020/3/22,341585,14831,95990,230764
2020/3/23,383750,16748,96456,270546
2020/3/24,424889,19016,105997,299876
2020/3/25,475706,21793,111445,342468
2020/3/26,538666,24800,119804,394062
2020/3/27,603066,28318,128508,446240
2020/3/28,670723,31997,136800,501926
2020/3/29,730300,35470,146261,548569
2020/3/30,794939,39634,161707,593598
2020/3/31,871355,44478,174074,652803
2020/4/1,947569,50029,189434,708106
2020/4/2,1028968,56334,206052,766582
2020/4/3,1112123,62319,221060,828744
2020/4/4,1192586,68160,241072,883354
2020/4/5,1264304,73181,254477,936646
2020/4/6,1336976,79013,270812,987151
2020/4/7,1413849,86915,293665,1033269
2020/4/8,1497624,93650,322017,1081957
2020/4/9,1584249,101279,346349,1136621
2020/4/10,1671907,108551,367477,1195879
2020/4/11,1748872,114620,392991,1241261
2020/4/12,1845653,120351,411864,1313438
2020/4/13,1915247,126098,438395,1350754
2020/4/14,1985174,132996,463014,1389164
2020/4/15,2066003,141308,498925,1425770
2020/4/16,2162715,148591,529015,1485109
2020/4/17,2250439,157481,554287,1538671
2020/4/18,2324396,163952,577789,1582655
2020/4/19,2404919,168522,608557,1627840
2020/4/20,2478258,173965,629862,1674431
2020/4/21,2553508,181122,664043,1708343
2020/4/22,2630314,187877,693207,1749230
2020/4/23,2719327,194727,721689,1802911
2020/4/24,2806267,201401,771329,1833537
2020/4/25,2891199,206979,798239,1885981
2020/4/26,2964146,210862,825969,1927315
2020/4/27,3032850,215511,852382,1964957
2020/4/28,3108149,221974,884680,2001495
2020/4/29,3185195,228742,925752,2030701
2020/4/30,3268876,234704,989616,2044556
2020/5/1,3355922,239881,1026501,2089540
2020/5/2,3437608,245206,1066362,2126040
2020/5/3,3515244,248659,1097577,2169008
2020/5/4,3591321,252787,1130526,2208008
2020/5/5,3671310,258658,1166155,2246497
2020/5/6,3761332,265327,1210894,2285111
2020/5/7,3850418,270736,1249311,2330371
2020/5/8,3941935,276304,1284849,2380782
2020/5/9,4027781,280569,1337367,2409845
2020/5/10,4104027,284135,1370108,2449784
2020/5/11,4180268,287608,1416204,2476456
2020/5/12,4263867,293155,1452191,2518521
2020/5/13,4348619,298383,1506905,2543331
2020/5/14,4445724,303651,1545712,2596361
2020/5/15,4542073,308866,1592880,2640327
2020/5/16,4637485,313037,1648546,2675902
2020/5/17,4715994,316366,1688699,2710929
2020/5/18,4804278,319657,1740909,2743712
2020/5/19,4900702,324441,1792256,2784005
2020/5/20,5003730,329326,1850441,2823963
2020/5/21,5110064,334112,1900768,2875184
2020/5/22,5216964,339396,2008541,2869027
2020/5/23,5322253,343385,2062802,2916066
2020/5/24,5417579,346525,2117555,2953499
