,order_id,user_id,price,platform,payment_provider,create_time,pay_time
1,2,47292399,248.0,android,wxpay,2020-04-05 16:17:00,2020-04-05 16:18:00
7,8,52799611,248.0,ios,applepay,2019-11-23 12:35:00,2020-04-01 12:04:00
14,15,107710922,25.0,ios,applepay,2019-10-02 20:18:00,2020-04-01 12:04:00
15,16,107710922,25.0,ios,applepay,2020-01-06 15:22:00,2020-04-01 12:05:00
18,19,58784014,25.0,ios,applepay,2019-12-07 20:55:00,2020-04-01 12:05:00
19,20,58784014,25.0,ios,applepay,2020-03-24 15:19:00,2020-03-24 15:20:00
20,21,58784014,68.0,ios,applepay,2020-06-23 19:12:00,2020-06-23 19:17:00
21,22,18237192,248.0,android,wxpay,2020-05-25 06:05:00,2020-05-25 06:06:00
24,25,98765645,68.0,ios,applepay,2019-11-24 21:28:00,2020-04-01 12:04:00
26,27,52524686,25.0,android,wxpay,2020-04-18 23:02:00,2020-04-18 23:03:00
27,28,96250785,25.0,ios,applepay,2019-10-05 22:14:00,2019-10-06 08:05:00
34,35,87901493,25.0,ios,applepay,2019-10-21 19:44:00,2019-10-21 20:32:00
36,37,88405412,248.0,android,wxpay,2020-03-19 23:23:00,2020-03-19 23:24:00
37,38,91848229,248.0,ios,applepay,2019-08-27 10:35:00,2020-04-01 12:03:00
47,48,96425181,25.0,android,wxpay,2020-04-15 08:27:00,2020-04-15 08:28:00
56,57,63246487,68.0,android,wxpay,2020-06-12 17:33:00,2020-06-12 17:34:00
59,60,45829473,248.0,ios,applepay,2019-11-27 22:12:00,2020-04-01 12:04:00
61,62,24489634,248.0,android,alipay,2019-12-05 11:03:00,2019-12-05 11:04:00
62,63,73161977,248.0,ios,applepay,2020-01-03 17:29:00,2020-01-03 17:41:00
63,64,65757051,25.0,android,wxpay,2020-05-21 09:41:00,2020-05-21 09:42:00
64,65,99727688,248.0,android,wxpay,2020-05-29 15:10:00,2020-05-29 15:11:00
68,69,81126339,25.0,android,wxpay,2020-05-27 21:39:00,2020-05-27 21:40:00
70,71,31026754,25.0,android,wxpay,2019-10-28 23:22:00,2019-10-28 23:23:00
74,75,56583464,248.0,android,alipay,2020-03-01 16:29:00,2020-03-01 16:30:00
75,76,56583464,68.0,android,wxpay,2019-08-24 15:56:00,2019-08-24 15:57:00
81,82,55513281,68.0,android,wxpay,2019-12-05 21:12:00,2019-12-05 21:13:00
106,107,101970338,68.0,ios,applepay,2019-12-04 21:01:00,2020-04-01 12:04:00
110,111,73069889,68.0,android,wxpay,2019-11-08 05:48:00,2019-11-08 05:49:00
112,113,100299659,25.0,android,wxpay,2019-10-07 09:38:00,2019-10-07 09:39:00
126,127,49559755,248.0,android,wxpay,2019-11-27 07:50:00,2019-11-27 07:51:00
132,133,81788880,248.0,ios,applepay,2020-05-28 15:05:00,2020-05-28 15:07:00
