date,category,module,turnover
 2018/05/01,娱乐,游戏厅,2270
 2018/05/01,零售,电子产品,36380
 2018/05/01,零售,童装,42996
 2018/05/01,零售,男装,46824
 2018/05/01,餐饮,快餐,14308
 2018/05/01,餐饮,西餐,20922
 2018/05/01,餐饮,面包甜点,22480
 2018/05/01,服务,丽人,33269
 2018/05/01,零售,商超,197812
 2018/05/01,服务,运动健身,66255
 2018/05/01,服务,按摩,72065
 2018/05/01,零售,女装,298828
 2018/05/01,服务,教育,87208
 2018/05/01,餐饮,中餐,178118
 2018/05/01,娱乐,KTV,52929
 2018/05/01,娱乐,电影院,263720
 2018/05/02,娱乐,游戏厅,2427
 2018/05/02,零售,电子产品,38928
 2018/05/02,零售,童装,47332
 2018/05/02,零售,男装,51788
 2018/05/02,餐饮,快餐,16941
 2018/05/02,餐饮,西餐,24390
 2018/05/02,餐饮,面包甜点,27853
 2018/05/02,服务,丽人,39110
 2018/05/02,零售,商超,218592
 2018/05/02,服务,运动健身,70316
 2018/05/02,服务,按摩,73386
 2018/05/02,零售,女装,336764
 2018/05/02,服务,教育,88844
 2018/05/02,餐饮,中餐,211832
 2018/05/02,娱乐,KTV,69299
 2018/05/02,娱乐,电影院,188611
 2018/05/03,娱乐,游戏厅,2403
 2018/05/03,零售,电子产品,38932
 2018/05/03,零售,童装,47640
 2018/05/03,零售,男装,51728
 2018/05/03,餐饮,快餐,17014
 2018/05/03,餐饮,西餐,24663
 2018/05/03,餐饮,面包甜点,28149
 2018/05/03,服务,丽人,40118
 2018/05/03,零售,商超,220212
 2018/05/03,服务,运动健身,70704
 2018/05/03,服务,按摩,74604
 2018/05/03,零售,女装,338640
 2018/05/03,服务,教育,89630
 2018/05/03,餐饮,中餐,215630
 2018/05/03,娱乐,KTV,70789
 2018/05/03,娱乐,电影院,183795
 2018/05/04,娱乐,游戏厅,2312
 2018/05/04,零售,电子产品,38208
 2018/05/04,零售,童装,46548
 2018/05/04,零售,男装,50568
 2018/05/04,餐饮,快餐,16319
 2018/05/04,餐饮,西餐,23631
 2018/05/04,餐饮,面包甜点,25762
 2018/05/04,服务,丽人,38056
 2018/05/04,零售,商超,212392
 2018/05/04,服务,运动健身,66684
 2018/05/04,服务,按摩,68893
 2018/05/04,零售,女装,324412
 2018/05/04,服务,教育,84822
 2018/05/04,餐饮,中餐,206016
 2018/05/04,娱乐,KTV,64754
 2018/05/04,娱乐,电影院,217196
 2018/05/05,娱乐,游戏厅,2185
 2018/05/05,零售,电子产品,35404
 2018/05/05,零售,童装,43164
 2018/05/05,零售,男装,46252
 2018/05/05,餐饮,快餐,15032
 2018/05/05,餐饮,西餐,22082
 2018/05/05,餐饮,面包甜点,22803
 2018/05/05,服务,丽人,33781
 2018/05/05,零售,商超,193468
 2018/05/05,服务,运动健身,64779
 2018/05/05,服务,按摩,73124
 2018/05/05,零售,女装,295060
 2018/05/05,服务,教育,85705
 2018/05/05,餐饮,中餐,188112
 2018/05/05,娱乐,KTV,56470
 2018/05/05,娱乐,电影院,260478
 2018/05/06,零售,电子产品,35980
 2018/05/06,娱乐,游戏厅,2272
 2018/05/06,零售,童装,44036
 2018/05/06,零售,男装,48272
 2018/05/06,餐饮,快餐,15573
 2018/05/06,餐饮,西餐,22884
 2018/05/06,餐饮,面包甜点,24371
 2018/05/06,服务,丽人,35067
 2018/05/06,零售,商超,199616
 2018/05/06,服务,运动健身,68360
 2018/05/06,零售,女装,303148
 2018/05/06,服务,按摩,78772
 2018/05/06,服务,教育,89829
 2018/05/06,餐饮,中餐,193102
 2018/05/06,娱乐,KTV,60680
 2018/05/06,娱乐,电影院,233287
 2018/05/07,娱乐,游戏厅,2463
 2018/05/07,零售,电子产品,39736
 2018/05/07,零售,童装,49392
 2018/05/07,零售,男装,53952
 2018/05/07,餐饮,快餐,17535
 2018/05/07,餐饮,西餐,25898
 2018/05/07,餐饮,面包甜点,28826
 2018/05/07,服务,丽人,41270
 2018/05/07,零售,商超,227116
 2018/05/07,服务,运动健身,73249
 2018/05/07,服务,按摩,77669
 2018/05/07,零售,女装,346160
 2018/05/07,服务,教育,92611
 2018/05/07,餐饮,中餐,220894
 2018/05/07,娱乐,KTV,73469
 2018/05/07,娱乐,电影院,167675
 2018/05/08,零售,电子产品,39184
 2018/05/08,娱乐,游戏厅,2476
 2018/05/08,零售,童装,48876
 2018/05/08,零售,男装,53944
 2018/05/08,餐饮,快餐,17525
