name,neighborhood,price
Clean & quiet apt home by the park,Brooklyn,149
Skylit Midtown Castle,Manhattan,225
THE VILLAGE OF HARLEM....NEW YORK !,Manhattan,150
Cozy Entire Floor of Brownstone,Brooklyn,89
Entire Apt: Spacious Studio/Loft by central park,Manhattan,80
Large Cozy 1 BR Apartment In Midtown East,Manhattan,200
BlissArtsSpace!,Brooklyn,60
Large Furnished Room Near B'way ,Manhattan,79
Cozy Clean Guest Room - Family Apt,Manhattan,79
Cute & Cozy Lower East Side 1 bdrm,Manhattan,150
Beautiful 1br on Upper West Side,Manhattan,135
Central Manhattan/near Broadway,Manhattan,85
"Lovely Room 1, Garden, Best Area, Legal rental",Brooklyn,89
Wonderful Guest Bedroom in Manhattan for SINGLES,Manhattan,85
West Village Nest - Superhost,Manhattan,120
Only 2 stops to Manhattan studio,Brooklyn,140
Perfect for Your Parents + Garden,Brooklyn,215
Chelsea Perfect,Manhattan,140
Hip Historic Brownstone Apartment with Backyard,Brooklyn,99
Huge 2 BR Upper East  Cental Park,Manhattan,190
Sweet and Spacious Brooklyn Loft,Brooklyn,299
CBG CtyBGd HelpsHaiti rm#1:1-4,Brooklyn,130
CBG Helps Haiti Room#2.5,Brooklyn,80
CBG Helps Haiti Rm #2,Brooklyn,110
"MAISON DES SIRENES1,bohemian apartment",Brooklyn,120
Sunny Bedroom Across Prospect Park,Brooklyn,60
Magnifique Suite au N de Manhattan - vue Cloitres,Manhattan,80
Midtown Pied-a-terre,Manhattan,150
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Manhattan,44
Modern 1 BR / NYC / EAST VILLAGE,Manhattan,180
front room/double bed,Manhattan,50
Spacious 1 bedroom in luxe building,Manhattan,52
Loft in Williamsburg Area w/ Roof,Brooklyn,55
back room/bunk beds,Manhattan,50
Large B&B Style rooms,Brooklyn,70
"Lovely room 2 & garden; Best area, Legal rental",Brooklyn,89
Clean and Quiet in Brooklyn,Brooklyn,35
Cute apt in artist's home,Brooklyn,85
Country space in the city,Brooklyn,150
LowerEastSide apt share shortterm 1,Manhattan,40
ENJOY Downtown NYC!,Manhattan,68
Beautiful Sunny Park Slope Brooklyn,Brooklyn,120
1bdr w private bath. in lofty apt,Brooklyn,120
West Side Retreat,Manhattan,135
BEST BET IN HARLEM,Manhattan,150
Entire apartment in central Brooklyn neighborhood.,Brooklyn,150
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Queens,130
Charming Brownstone 3 - Near PRATT,Brooklyn,110
bright and stylish duplex,Brooklyn,115
Fort Greene brownstone ,Brooklyn,80
Blue Room for 2 in Brownstone for $1350 monthly,Brooklyn,80
Cozy 1BD on Central Park West in New York City,Manhattan,151
* ORIGINAL BROOKLYN LOFT *,Brooklyn,228
Greenpoint Place...Has It All! ,Brooklyn,144
Beautiful Apartment in Manhattan!!!,Manhattan,200
Williamsburg 1 bedroom Apartment,Brooklyn,150
"Great Location, Manhattan Bedroom!",Manhattan,110
Best Location in NYC! TIMES SQUARE!,Manhattan,69
Room in Greenpoint Loft w/ Roof,Brooklyn,49
**Bright Nolita Apt w Doorman/Elevators/Gym**,Manhattan,180
"Very, very cozy place",Brooklyn,80
Sunny & Spacious Chelsea Apartment,Manhattan,375
2 bedroom - Upper East Side-great for kids,Manhattan,250
Comfortable 4-bedroom apt in family house.,Brooklyn,200
Double Room w Private Deck Clinton Hill Best Area,Brooklyn,55
Your Heaven in Hells Kitchen,Manhattan,52
Light-filled 2B duplex in the heart of Park Slope!,Brooklyn,225
"Sunny, Modern room in East Village!",Manhattan,80
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Brooklyn,275
Large Room in Amazing East Village Apt,Manhattan,99
SpaHa Loft: Enormous and Bright,Manhattan,225
Lovely EV Artist's Home,Manhattan,230
Cool Room in Hell's Kitchen,Manhattan,51
"HARLEM, NEW YORK WELCOMES YOU!!",Manhattan,65
BLUE TRIM GUEST HOUSE,Brooklyn,105
Charming East Village One Bedroom Flat,Manhattan,190
Manhattan Room,Manhattan,200
Little King of Queens,Queens,70
Fort Greene Retreat on the Park,Brooklyn,95
Beautiful Meatpacking District Loft,Manhattan,150
Cozy 2 BR in Williamsburg ,Brooklyn,145
Spacious luminous apt Upper West NYC,Manhattan,110
Entire 2 Bedroom - Large & Sunny,Manhattan,285
"Sunny, Spacious Top Floor Haven",Brooklyn,130
Private room Great Deal at Lower East Side,Manhattan,94
perfect for a family or small group,Brooklyn,800
2 bedroom Williamsburg Apt - Bedford L stop,Brooklyn,105
Oh glorious spring!,Manhattan,60
Great Location for NYC,Manhattan,50
Cozy Bedroom in Williamsburg 3 BR,Brooklyn,85
Sunny room+Pvte office in huge loft,Brooklyn,65
Spacious Prospect Heights Apartment,Brooklyn,131
"Large Parlor Room, Landmark Home 1 block to PRATT",Brooklyn,98
2-bed brownstone duplex + garden,Brooklyn,250
Charming 1 bed GR8 WBurg LOCATION!,Brooklyn,100
Sunny Apartment in Artist Home,Brooklyn,105
Light-filled classic Central Park ,Manhattan,140
"Upper Manhattan, New York",Manhattan,89
COZY QUIET room 4 DOOGLERS!,Manhattan,98
The Stuydio Modern and Light Filled,Brooklyn,125
loft bed - near transportation-15min to times sq,Manhattan,60
House On Henry (3rd FLR Suite),Brooklyn,175
Monkey Retreat Manhattan,Manhattan,65
