日期,球队,进球,赛事
2019/1/2,Oman,2,Friendly
2019/1/5,United Arab Emirates,1,AFC Asian Cup
2019/1/6,Thailand,1,AFC Asian Cup
2019/1/6,Australia,0,AFC Asian Cup
2019/1/6,Syria,0,AFC Asian Cup
2019/1/7,China PR,2,AFC Asian Cup
2019/1/7,South Korea,1,AFC Asian Cup
2019/1/7,Iran,5,AFC Asian Cup
2019/1/8,Finland,1,Friendly
2019/1/8,Iraq,3,AFC Asian Cup
2019/1/8,Saudi Arabia,4,AFC Asian Cup
2019/1/9,Qatar,2,AFC Asian Cup
2019/1/9,Japan,3,AFC Asian Cup
2019/1/9,Uzbekistan,2,AFC Asian Cup
2019/1/10,Bahrain,0,AFC Asian Cup
2019/1/10,India,0,AFC Asian Cup
2019/1/10,Jordan,2,AFC Asian Cup
2019/1/11,Estonia,2,Friendly
2019/1/11,Iceland,2,Friendly
2019/1/11,Palestine,0,AFC Asian Cup
2019/1/11,Philippines,0,AFC Asian Cup
2019/1/11,Kyrgyzstan,0,AFC Asian Cup
2019/1/12,Vietnam,0,AFC Asian Cup
2019/1/12,Yemen,0,AFC Asian Cup
2019/1/12,Lebanon,0,AFC Asian Cup
2019/1/13,North Korea,0,AFC Asian Cup
2019/1/13,Oman,0,AFC Asian Cup
2019/1/13,Turkmenistan,0,AFC Asian Cup
2019/1/14,India,0,AFC Asian Cup
2019/1/14,United Arab Emirates,1,AFC Asian Cup
2019/1/15,Estonia,0,Friendly
2019/1/15,Australia,3,AFC Asian Cup
2019/1/15,Palestine,0,AFC Asian Cup
2019/1/16,South Korea,2,AFC Asian Cup
2019/1/16,Kyrgyzstan,3,AFC Asian Cup
2019/1/16,Iran,0,AFC Asian Cup
2019/1/16,Vietnam,2,AFC Asian Cup
2019/1/17,Lebanon,4,AFC Asian Cup
2019/1/17,Saudi Arabia,0,AFC Asian Cup
2019/1/17,Japan,2,AFC Asian Cup
2019/1/17,Oman,3,AFC Asian Cup
2019/1/20,Iran,2,AFC Asian Cup
2019/1/20,Jordan,1,AFC Asian Cup
2019/1/20,Thailand,1,AFC Asian Cup
2019/1/21,Australia,0,AFC Asian Cup
2019/1/21,Japan,1,AFC Asian Cup
2019/1/21,United Arab Emirates,3,AFC Asian Cup
2019/1/22,South Korea,2,AFC Asian Cup
2019/1/22,Qatar,1,AFC Asian Cup
2019/1/24,China PR,0,AFC Asian Cup
2019/1/24,Vietnam,0,AFC Asian Cup
2019/1/25,South Korea,0,AFC Asian Cup
2019/1/25,United Arab Emirates,1,AFC Asian Cup
2019/1/27,United States,3,Friendly
2019/1/28,Iran,0,AFC Asian Cup
2019/1/29,Qatar,4,AFC Asian Cup
2019/2/1,Japan,1,AFC Asian Cup
2019/2/2,United States,2,Friendly
2019/2/21,Kazakhstan,1,Friendly
2019/2/27,Cuba,5,Friendly
2019/3/3,Bolivia,2,Friendly
2019/3/4,Barbados,3,Friendly
2019/3/6,El Salvador,3,Friendly
2019/3/9,Cambodia,0,Friendly
2019/3/16,Bahamas,6,Friendly
2019/3/18,Fiji,3,Friendly
2019/3/18,Solomon Islands,3,Friendly
2019/3/19,Myanmar,0,Friendly
2019/3/20,Germany,1,Friendly
2019/3/20,Wales,1,Friendly
2019/3/21,Kosovo,2,Friendly
2019/3/21,Kuwait,0,Friendly
2019/3/21,Mauritius,3,Friendly
2019/3/21,United Arab Emirates,2,Friendly
2019/3/21,United States,1,Friendly
2019/3/21,Northern Ireland,2,UEFA Euro qualification
2019/3/21,Netherlands,4,UEFA Euro qualification
2019/3/21,Croatia,2,UEFA Euro qualification
2019/3/21,Slovakia,2,UEFA Euro qualification
2019/3/21,Austria,0,UEFA Euro qualification
2019/3/21,North Macedonia,3,UEFA Euro qualification
2019/3/21,Israel,1,UEFA Euro qualification
2019/3/21,Cyprus,5,UEFA Euro qualification
2019/3/21,Belgium,3,UEFA Euro qualification
2019/3/21,Kazakhstan,3,UEFA Euro qualification
2019/3/21,British Virgin Islands,2,CONCACAF Nations League qualification
2019/3/22,Argentina,1,Friendly
2019/3/22,Guatemala,1,Friendly
2019/3/22,Japan,0,Friendly
2019/3/22,South Korea,1,Friendly
2019/3/22,Mexico,3,Friendly
2019/3/22,Peru,1,Friendly
2019/3/22,Bulgaria,1,UEFA Euro qualification
2019/3/22,England,5,UEFA Euro qualification
2019/3/22,Portugal,0,UEFA Euro qualification
2019/3/22,Luxembourg,2,UEFA Euro qualification
2019/3/22,Albania,0,UEFA Euro qualification
2019/3/22,Andorra,0,UEFA Euro qualification
2019/3/22,Moldova,1,UEFA Euro qualification
2019/3/22,Botswana,0,African Cup of Nations qualification
2019/3/22,Anguilla,0,CONCACAF Nations League qualification
2019/3/22,Saint Vincent and the Grenadines,2,CONCACAF Nations League qualification
2019/3/22,Cayman Islands,1,CONCACAF Nations League qualification
2019/3/22,Saint Lucia,3,CONCACAF Nations League qualification
2019/3/23,Brazil,1,Friendly
2019/3/23,Malaysia,2,Friendly
2019/3/23,Oman,1,Friendly
2019/3/23,Georgia,0,UEFA Euro qualification
2019/3/23,Gibraltar,0,UEFA Euro qualification
