Date,AveragePrice,region
2015/12/27,1.33,Albany
2015/12/20,1.35,Albany
2015/12/13,0.93,Albany
2015/12/6,1.08,Albany
2015/11/29,1.28,Albany
2015/11/22,1.26,Albany
2015/11/15,0.99,Albany
2015/11/8,0.98,Albany
2015/11/1,1.02,Albany
2015/10/25,1.07,Albany
2015/10/18,1.12,Albany
2015/10/11,1.28,Albany
2015/10/4,1.31,Albany
2015/9/27,0.99,Albany
2015/9/20,1.33,Albany
2015/9/13,1.28,Albany
2015/9/6,1.11,Albany
2015/8/30,1.07,Albany
2015/8/23,1.34,Albany
2015/8/16,1.33,Albany
2015/8/9,1.12,Albany
2015/8/2,1.45,Albany
2015/7/26,1.11,Albany
2015/7/19,1.26,Albany
2015/7/12,1.05,Albany
2015/7/5,1.35,Albany
2015/6/28,1.37,Albany
2015/6/21,1.27,Albany
2015/6/14,1.32,Albany
2015/6/7,1.07,Albany
2015/5/31,1.23,Albany
2015/5/24,1.19,Albany
2015/5/17,1.43,Albany
2015/5/10,1.26,Albany
2015/5/3,1.2,Albany
2015/4/26,1.22,Albany
2015/4/19,1.19,Albany
2015/4/12,1.13,Albany
2015/4/5,1.16,Albany
2015/3/29,1.02,Albany
2015/3/22,1.12,Albany
2015/3/15,1.11,Albany
2015/3/8,1.07,Albany
2015/3/1,0.99,Albany
2015/2/22,1.07,Albany
2015/2/15,1.06,Albany
2015/2/8,0.99,Albany
2015/2/1,0.99,Albany
2015/1/25,1.06,Albany
2015/1/18,1.17,Albany
2015/1/11,1.24,Albany
2015/1/4,1.22,Albany
2015/12/27,0.99,Atlanta
2015/12/20,1.08,Atlanta
2015/12/13,0.96,Atlanta
2015/12/6,1.07,Atlanta
2015/11/29,0.99,Atlanta
2015/11/22,1,Atlanta
2015/11/15,1.13,Atlanta
2015/11/8,1.12,Atlanta
2015/11/1,0.99,Atlanta
2015/10/25,1.09,Atlanta
2015/10/18,1.09,Atlanta
2015/10/11,0.95,Atlanta
2015/10/4,0.96,Atlanta
2015/9/27,1.07,Atlanta
2015/9/20,0.93,Atlanta
2015/9/13,1.07,Atlanta
2015/9/6,0.97,Atlanta
2015/8/30,1.15,Atlanta
2015/8/23,1.12,Atlanta
2015/8/16,1.09,Atlanta
2015/8/9,1.01,Atlanta
2015/8/2,1.15,Atlanta
2015/7/26,1.08,Atlanta
2015/7/19,0.97,Atlanta
2015/7/12,1.14,Atlanta
2015/7/5,1.01,Atlanta
2015/6/28,1.13,Atlanta
2015/6/21,0.99,Atlanta
2015/6/14,1.1,Atlanta
2015/6/7,0.99,Atlanta
2015/5/31,1.1,Atlanta
2015/5/24,0.96,Atlanta
2015/5/17,1.11,Atlanta
2015/5/10,1.1,Atlanta
2015/5/3,1,Atlanta
2015/4/26,1.12,Atlanta
2015/4/19,1.12,Atlanta
2015/4/12,0.99,Atlanta
2015/4/5,1.04,Atlanta
2015/3/29,1.11,Atlanta
2015/3/22,1,Atlanta
2015/3/15,1.12,Atlanta
2015/3/8,1.1,Atlanta
2015/3/1,0.99,Atlanta
2015/2/22,1.1,Atlanta
2015/2/15,1.06,Atlanta
2015/2/8,1.03,Atlanta
2015/2/1,0.96,Atlanta
2015/1/25,1.1,Atlanta
2015/1/18,1.11,Atlanta
2015/1/11,1.11,Atlanta
2015/1/4,1,Atlanta
2015/12/27,1.17,BaltimoreWashington
2015/12/20,1.11,BaltimoreWashington
2015/12/13,1.15,BaltimoreWashington
2015/12/6,1.04,BaltimoreWashington
2015/11/29,1.16,BaltimoreWashington
2015/11/22,1.12,BaltimoreWashington
2015/11/15,1.04,BaltimoreWashington
2015/11/8,1.05,BaltimoreWashington
2015/11/1,1.12,BaltimoreWashington
2015/10/25,1.19,BaltimoreWashington
2015/10/18,0.99,BaltimoreWashington
2015/10/11,1.24,BaltimoreWashington
2015/10/4,1.28,BaltimoreWashington
2015/9/27,1.19,BaltimoreWashington
2015/9/20,1.17,BaltimoreWashington
2015/9/13,1.09,BaltimoreWashington
2015/9/6,1.18,BaltimoreWashington
2015/8/30,1.24,BaltimoreWashington
2015/8/23,1.16,BaltimoreWashington
2015/8/16,1.14,BaltimoreWashington
2015/8/9,1.16,BaltimoreWashington
2015/8/2,1.17,BaltimoreWashington
2015/7/26,1.2,BaltimoreWashington
2015/7/19,1.18,BaltimoreWashington
2015/7/12,1.1,BaltimoreWashington
2015/7/5,1.16,BaltimoreWashington
2015/6/28,1.15,BaltimoreWashington
2015/6/21,1.16,BaltimoreWashington
2015/6/14,1.09,BaltimoreWashington
2015/6/7,1.26,BaltimoreWashington
2015/5/31,1.19,BaltimoreWashington
2015/5/24,1.18,BaltimoreWashington
2015/5/17,1.27,BaltimoreWashington
2015/5/10,1.26,BaltimoreWashington
2015/5/3,1.17,BaltimoreWashington
2015/4/26,1.29,BaltimoreWashington
2015/4/19,1.28,BaltimoreWashington
2015/4/12,1.15,BaltimoreWashington
2015/4/5,1.29,BaltimoreWashington
2015/3/29,1.25,BaltimoreWashington
2015/3/22,1.1,BaltimoreWashington
2015/3/15,1.24,BaltimoreWashington
2015/3/8,1.26,BaltimoreWashington
2015/3/1,1.16,BaltimoreWashington
2015/2/22,1.11,BaltimoreWashington
2015/2/15,1.25,BaltimoreWashington
2015/2/8,1.09,BaltimoreWashington
2015/2/1,1.06,BaltimoreWashington
2015/1/25,1.2,BaltimoreWashington
2015/1/18,1.23,BaltimoreWashington
2015/1/11,1.17,BaltimoreWashington
2015/1/4,1.08,BaltimoreWashington
2015/12/27,0.97,Boise
2015/12/20,1.03,Boise
2015/12/13,0.99,Boise
2015/12/6,0.71,Boise
2015/11/29,1.06,Boise
2015/11/22,1.09,Boise
2015/11/15,1.01,Boise
2015/11/8,1.11,Boise
2015/11/1,1.14,Boise
2015/10/25,1.11,Boise
2015/10/18,1.16,Boise
2015/10/11,0.94,Boise
2015/10/4,1.12,Boise
2015/9/27,0.99,Boise
2015/9/20,1.03,Boise
2015/9/13,1.08,Boise
2015/9/6,1.16,Boise
2015/8/30,1.19,Boise
2015/8/23,1.05,Boise
2015/8/16,1.12,Boise
2015/8/9,1.1,Boise
2015/8/2,1.07,Boise
2015/7/26,1.07,Boise
2015/7/19,1.09,Boise
2015/7/12,1.05,Boise
2015/7/5,1.15,Boise
2015/6/28,1.04,Boise
2015/6/21,1.06,Boise
2015/6/14,0.99,Boise
2015/6/7,1.12,Boise
2015/5/31,0.97,Boise
2015/5/24,1.03,Boise
2015/5/17,0.96,Boise
2015/5/10,1.06,Boise
2015/5/3,1,Boise
2015/4/26,0.96,Boise
2015/4/19,0.99,Boise
2015/4/12,1.19,Boise
2015/4/5,1.09,Boise
2015/3/29,0.98,Boise
2015/3/22,1.17,Boise
2015/3/15,1,Boise
2015/3/8,1.14,Boise
2015/3/1,1.06,Boise
2015/2/22,0.99,Boise
2015/2/15,1.14,Boise
2015/2/8,1.07,Boise
2015/2/1,0.91,Boise
2015/1/25,1.03,Boise
2015/1/18,1.08,Boise
2015/1/11,1.18,Boise
2015/1/4,1.01,Boise
2015/12/27,1.13,Boston
2015/12/20,1.07,Boston
2015/12/13,1.01,Boston
2015/12/6,1.02,Boston
2015/11/29,1.19,Boston
2015/11/22,1.07,Boston
2015/11/15,1.05,Boston
2015/11/8,1.04,Boston
2015/11/1,1.06,Boston
2015/10/25,1.02,Boston
2015/10/18,0.94,Boston
2015/10/11,1.14,Boston
2015/10/4,1.07,Boston
2015/9/27,1.07,Boston
2015/9/20,1.15,Boston
2015/9/13,1.03,Boston
2015/9/6,1.11,Boston
2015/8/30,1.13,Boston
2015/8/23,1.07,Boston
2015/8/16,1.15,Boston
2015/8/9,1.07,Boston
2015/8/2,1.17,Boston
2015/7/26,1.28,Boston
2015/7/19,1.18,Boston
2015/7/12,1.14,Boston
2015/7/5,1.27,Boston
2015/6/28,1.25,Boston
2015/6/21,1.24,Boston
2015/6/14,1.08,Boston
2015/6/7,1.25,Boston
2015/5/31,1.26,Boston
2015/5/24,1.14,Boston
2015/5/17,1.26,Boston
2015/5/10,1.14,Boston
2015/5/3,1.17,Boston
2015/4/26,1.28,Boston
2015/4/19,1.15,Boston
