订单号,商品ID,商品名,单价,数量,总价,下单时间
700010201907010015,700010,儿童口罩,20,22,440,2019-07-01 08:00:15
700011201907010015,700011,袜子,5,19,95,2019-07-01 08:00:15
700010201907014510,700010,儿童口罩,20,20,400,2019-07-01 08:45:10
700011201907014510,700011,袜子,5,17,85,2019-07-01 08:45:10
700010201907010338,700010,儿童口罩,20,24,480,2019-07-01 10:03:38
700011201907010338,700011,袜子,5,3,15,2019-07-01 10:03:38
700010201907015803,700010,儿童口罩,20,13,260,2019-07-01 10:58:03
700011201907015803,700011,袜子,5,3,15,2019-07-01 10:58:03
700010201907013519,700010,儿童口罩,20,16,320,2019-07-01 11:35:19
700011201907013519,700011,袜子,5,15,75,2019-07-01 11:35:19
700012201907012955,700012,隔汗巾,8,9,72,2019-07-01 15:29:55
700010201907015103,700010,儿童口罩,20,16,320,2019-07-01 15:51:03
700011201907015103,700011,袜子,5,12,60,2019-07-01 15:51:03
700010201907014544,700010,儿童口罩,20,15,300,2019-07-01 17:45:44
700011201907014544,700011,袜子,5,6,30,2019-07-01 17:45:44
700014201907011345,700014,消毒液,28,12,336,2019-07-01 21:13:45
700010201907013300,700010,儿童口罩,20,15,300,2019-07-01 23:33:00
700011201907013300,700011,袜子,5,4,20,2019-07-01 23:33:00
700013201907022146,700013,酒精棉片,15,13,195,2019-07-02 00:21:46
700014201907021314,700014,消毒液,28,5,140,2019-07-02 01:13:14
700012201907024950,700012,隔汗巾,8,15,120,2019-07-02 01:49:50
700014201907020905,700014,消毒液,28,13,364,2019-07-02 05:09:05
700014201907022644,700014,消毒液,28,23,644,2019-07-02 10:26:44
700010201907024701,700010,儿童口罩,20,15,300,2019-07-02 11:47:01
700011201907024701,700011,袜子,5,7,35,2019-07-02 11:47:01
700010201907020958,700010,儿童口罩,20,12,240,2019-07-02 12:09:58
700011201907020958,700011,袜子,5,17,85,2019-07-02 12:09:58
700010201907023406,700010,儿童口罩,20,14,280,2019-07-02 12:34:06
700011201907023406,700011,袜子,5,5,25,2019-07-02 12:34:06
700012201907020639,700012,隔汗巾,8,17,136,2019-07-02 17:06:39
700010201907024809,700010,儿童口罩,20,18,360,2019-07-02 17:48:09
700011201907024809,700011,袜子,5,12,60,2019-07-02 17:48:09
700010201907024341,700010,儿童口罩,20,40,800,2019-07-02 18:43:41
700011201907024341,700011,袜子,5,11,55,2019-07-02 18:43:41
700014201907022111,700014,消毒液,28,14,392,2019-07-02 19:21:11
700010201907024549,700010,儿童口罩,20,50,1000,2019-07-02 20:45:49
700011201907024549,700011,袜子,5,5,25,2019-07-02 20:45:49
700015201907021557,700015,驱蚊贴,25,23,575,2019-07-02 22:15:57
700010201907025832,700010,儿童口罩,20,50,1000,2019-07-02 22:58:32
700011201907025832,700011,袜子,5,6,30,2019-07-02 22:58:32
700012201907033014,700012,隔汗巾,8,9,72,2019-07-03 01:30:14
700014201907030703,700014,消毒液,28,5,140,2019-07-03 06:07:03
700010201907031929,700010,儿童口罩,20,17,340,2019-07-03 07:19:29
700011201907031929,700011,袜子,5,12,60,2019-07-03 07:19:29
