订单号,商品ID,商品名,单价,数量,总价,下单时间
700010202001010045,700010,儿童口罩,20,22,440,2020-01-01 01:00:45
700010202001010047,700010,儿童口罩,20,20,400,2020-01-01 02:00:47
700010202001011009,700010,儿童口罩,20,20,400,2020-01-01 07:10:09
700010202001013626,700010,儿童口罩,20,20,400,2020-01-01 07:36:26
700010202001010015,700010,儿童口罩,20,18,360,2020-01-01 08:00:15
700014202001010701,700014,消毒液,28,23,644,2020-01-01 09:07:01
700014202001012214,700014,消毒液,28,21,588,2020-01-01 09:22:14
700012202001013526,700012,隔汗巾,8,30,240,2020-01-01 09:35:26
700013202001011520,700013,酒精棉片,15,23,345,2020-01-01 10:15:20
700013202001014702,700013,酒精棉片,15,45,675,2020-01-01 10:47:02
700014202001014958,700014,消毒液,28,13,364,2020-01-01 10:49:58
700014202001013633,700014,消毒液,28,34,952,2020-01-01 11:36:33
700012202001014813,700012,隔汗巾,8,23,184,2020-01-01 11:48:13
700015202001012535,700015,驱蚊贴,25,9,225,2020-01-01 12:25:35
700013202001012859,700013,酒精棉片,15,22,330,2020-01-01 13:28:59
700014202001015318,700014,消毒液,28,12,336,2020-01-01 13:53:18
700014202001013130,700014,消毒液,28,20,560,2020-01-01 14:31:30
700013202001014143,700013,酒精棉片,15,10,150,2020-01-01 14:41:43
700014202001010658,700014,消毒液,28,50,1400,2020-01-01 15:06:58
700010202001013214,700010,儿童口罩,20,5,100,2020-01-01 15:32:14
700010202001013358,700010,儿童口罩,20,15,300,2020-01-01 15:33:58
700010202001013358,700010,儿童口罩,20,18,360,2020-01-01 15:33:58
700010202001014359,700010,儿童口罩,20,18,360,2020-01-01 15:43:59
700010202001015103,700010,儿童口罩,20,35,700,2020-01-01 15:51:03
700010202001010406,700010,儿童口罩,20,28,560,2020-01-01 16:04:06
700010202001010406,700010,儿童口罩,20,25,500,2020-01-01 16:04:06
700010202001010956,700010,儿童口罩,20,20,400,2020-01-01 16:09:56
700010202001010956,700010,儿童口罩,20,29,580,2020-01-01 16:09:56
700012202001011135,700012,隔汗巾,8,20,160,2020-01-01 16:11:35
700010202001011900,700010,儿童口罩,20,17,340,2020-01-01 16:19:00
700010202001012834,700010,儿童口罩,20,15,300,2020-01-01 16:28:34
700010202001012834,700010,儿童口罩,20,5,100,2020-01-01 16:28:34
700010202001014759,700010,儿童口罩,20,12,240,2020-01-01 16:47:59
700010202001014824,700010,儿童口罩,20,49,980,2020-01-01 16:48:24
700010202001014824,700010,儿童口罩,20,10,200,2020-01-01 16:48:24
700010202001014957,700010,儿童口罩,20,23,460,2020-01-01 16:49:57
700010202001015542,700010,儿童口罩,20,18,360,2020-01-01 16:55:42
700010202001015542,700010,儿童口罩,20,16,320,2020-01-01 16:55:42
700010202001015701,700010,儿童口罩,20,13,260,2020-01-01 16:57:01
700010202001015701,700010,儿童口罩,20,15,300,2020-01-01 16:57:01
700014202001011911,700014,消毒液,28,44,1232,2020-01-01 17:19:11
700010202001014248,700010,儿童口罩,20,10,200,2020-01-01 17:42:48
700010202001014544,700010,儿童口罩,20,35,700,2020-01-01 17:45:44
700015202001014801,700015,驱蚊贴,25,28,700,2020-01-01 17:48:01
700010202001011301,700010,儿童口罩,20,15,300,2020-01-01 18:13:01
700010202001011528,700010,儿童口罩,20,16,320,2020-01-01 18:15:28
700010202001012940,700010,儿童口罩,20,17,340,2020-01-01 18:29:40
700010202001012940,700010,儿童口罩,20,16,320,2020-01-01 18:29:40
700012202001010903,700012,隔汗巾,8,25,200,2020-01-01 19:09:03
700010202001011204,700010,儿童口罩,20,10,200,2020-01-01 19:12:04
700015202001015244,700015,驱蚊贴,25,29,725,2020-01-01 19:52:44
700010202001010237,700010,儿童口罩,20,45,900,2020-01-01 20:02:37
700010202001010245,700010,儿童口罩,20,15,300,2020-01-01 20:02:45
700010202001010452,700010,儿童口罩,20,15,300,2020-01-01 20:04:52
700010202001010553,700010,儿童口罩,20,34,680,2020-01-01 20:05:53
700011202001010918,700011,袜子,5,15,75,2020-01-01 20:09:18
700010202001015558,700010,儿童口罩,20,15,300,2020-01-01 20:55:58
700010202001010520,700010,儿童口罩,20,45,900,2020-01-01 21:05:20
700015202001012423,700015,驱蚊贴,25,21,525,2020-01-01 21:24:23
700013202001012846,700013,酒精棉片,15,26,390,2020-01-01 21:28:46
700010202001015256,700010,儿童口罩,20,23,460,2020-01-01 21:52:56
700012202001010419,700012,隔汗巾,8,23,184,2020-01-01 22:04:19
700012202001013723,700012,隔汗巾,8,27,216,2020-01-01 22:37:23
700012202001015819,700012,隔汗巾,8,17,136,2020-01-01 22:58:19
700010202001010221,700010,儿童口罩,20,35,700,2020-01-01 23:02:21
700010202001012833,700010,儿童口罩,20,15,300,2020-01-01 23:28:33
700014202001014553,700014,消毒液,28,28,784,2020-01-01 23:45:53
700012202001022322,700012,隔汗巾,8,22,176,2020-01-02 00:23:22
700012202001020650,700012,隔汗巾,8,18,144,2020-01-02 01:06:50
700015202001021811,700015,驱蚊贴,25,15,375,2020-01-02 01:18:11
700014202001022938,700014,消毒液,28,39,1092,2020-01-02 01:29:38
700013202001023929,700013,酒精棉片,15,29,435,2020-01-02 02:39:29
700014202001024620,700014,消毒液,28,27,756,2020-01-02 02:46:20
700015202001021409,700015,驱蚊贴,25,24,600,2020-01-02 03:14:09
700015202001020502,700015,驱蚊贴,25,21,525,2020-01-02 04:05:02
700012202001023606,700012,隔汗巾,8,15,120,2020-01-02 04:36:06
700015202001020134,700015,驱蚊贴,25,7,175,2020-01-02 05:01:34
700014202001024951,700014,消毒液,28,28,784,2020-01-02 05:49:51
700014202001025112,700014,消毒液,28,23,644,2020-01-02 05:51:12
700012202001022534,700012,隔汗巾,8,13,104,2020-01-02 06:25:34
700014202001023119,700014,消毒液,28,14,392,2020-01-02 06:31:19
700010202001020348,700010,儿童口罩,20,20,400,2020-01-02 07:03:48
700013202001022756,700013,酒精棉片,15,25,375,2020-01-02 07:27:56
700015202001023850,700015,驱蚊贴,25,28,700,2020-01-02 07:38:50
700010202001025304,700010,儿童口罩,20,32,640,2020-01-02 07:53:04
700010202001025545,700010,儿童口罩,20,15,300,2020-01-02 07:55:45
700010202001021025,700010,儿童口罩,20,18,360,2020-01-02 08:10:25
700010202001022430,700010,儿童口罩,20,34,680,2020-01-02 08:24:30
700010202001024421,700010,儿童口罩,20,20,400,2020-01-02 08:44:21
700011202001025354,700011,袜子,5,24,120,2020-01-02 08:53:54
700010202001025510,700010,儿童口罩,20,18,360,2020-01-02 08:55:10
700014202001020545,700014,消毒液,28,46,1288,2020-01-02 09:05:45
700014202001020611,700014,消毒液,28,15,420,2020-01-02 09:06:11
700010202001021001,700010,儿童口罩,20,14,280,2020-01-02 09:10:01
700010202001022542,700010,儿童口罩,20,15,300,2020-01-02 09:25:42
700015202001025340,700015,驱蚊贴,25,22,550,2020-01-02 09:53:40
700010202001020712,700010,儿童口罩,20,12,240,2020-01-02 10:07:12
700010202001020744,700010,儿童口罩,20,24,480,2020-01-02 10:07:44
700010202001020744,700010,儿童口罩,20,15,300,2020-01-02 10:07:44
700012202001022530,700012,隔汗巾,8,18,144,2020-01-02 10:25:30
700010202001023015,700010,儿童口罩,20,35,700,2020-01-02 10:30:15
700010202001023744,700010,儿童口罩,20,19,380,2020-01-02 10:37:44
700010202001023744,700010,儿童口罩,20,18,360,2020-01-02 10:37:44
700010202001024009,700010,儿童口罩,20,30,600,2020-01-02 10:40:09
700015202001024018,700015,驱蚊贴,25,16,400,2020-01-02 10:40:18
700010202001025744,700010,儿童口罩,20,36,720,2020-01-02 10:57:44
700010202001025831,700010,儿童口罩,20,45,900,2020-01-02 10:58:31
700010202001020349,700010,儿童口罩,20,16,320,2020-01-02 11:03:49
700010202001020349,700010,儿童口罩,20,25,500,2020-01-02 11:03:49
700012202001021517,700012,隔汗巾,8,10,80,2020-01-02 11:15:17
700012202001025207,700012,隔汗巾,8,24,192,2020-01-02 11:52:07
700014202001020924,700014,消毒液,28,47,1316,2020-01-02 13:09:24
700012202001022459,700012,隔汗巾,8,13,104,2020-01-02 13:24:59
700014202001024558,700014,消毒液,28,23,644,2020-01-02 13:45:58
700011202001020620,700011,袜子,5,12,60,2020-01-02 14:06:20
700010202001020845,700010,儿童口罩,20,16,320,2020-01-02 14:08:45
700010202001020923,700010,儿童口罩,20,23,460,2020-01-02 14:09:23
700010202001020923,700010,儿童口罩,20,16,320,2020-01-02 14:09:23
700010202001021059,700010,儿童口罩,20,20,400,2020-01-02 14:10:59
700010202001021059,700010,儿童口罩,20,18,360,2020-01-02 14:10:59
700013202001022227,700013,酒精棉片,15,34,510,2020-01-02 14:22:27
700010202001022809,700010,儿童口罩,20,25,500,2020-01-02 14:28:09
700013202001024308,700013,酒精棉片,15,10,150,2020-01-02 14:43:08
700013202001024308,700013,酒精棉片,15,10,150,2020-01-02 14:43:08
700010202001025159,700010,儿童口罩,20,15,300,2020-01-02 14:51:59
700010202001025159,700010,儿童口罩,20,15,300,2020-01-02 14:51:59
700012202001020052,700012,隔汗巾,8,30,240,2020-01-02 15:00:52
700015202001020842,700015,驱蚊贴,25,30,750,2020-01-02 15:08:42
700010202001022228,700010,儿童口罩,20,15,300,2020-01-02 15:22:28
700010202001022228,700010,儿童口罩,20,15,300,2020-01-02 15:22:28
700012202001025015,700012,隔汗巾,8,29,232,2020-01-02 15:50:15
700010202001025016,700010,儿童口罩,20,40,800,2020-01-02 15:50:16
700010202001025357,700010,儿童口罩,20,16,320,2020-01-02 15:53:57
700015202001020009,700015,驱蚊贴,25,15,375,2020-01-02 16:00:09
700010202001022532,700010,儿童口罩,20,20,400,2020-01-02 16:25:32
700010202001024349,700010,儿童口罩,20,30,600,2020-01-02 16:43:49
700010202001024349,700010,儿童口罩,20,50,1000,2020-01-02 16:43:49
700012202001025646,700012,隔汗巾,8,24,192,2020-01-02 16:56:46
700013202001020303,700013,酒精棉片,15,23,345,2020-01-02 17:03:03
700014202001021343,700014,消毒液,28,29,812,2020-01-02 17:13:43
700015202001022332,700015,驱蚊贴,25,7,175,2020-01-02 17:23:32
700012202001023943,700012,隔汗巾,8,16,128,2020-01-02 17:39:43
700010202001025317,700010,儿童口罩,20,25,500,2020-01-02 17:53:17
700014202001024326,700014,消毒液,28,25,700,2020-01-02 18:43:26
700010202001025608,700010,儿童口罩,20,45,900,2020-01-02 18:56:08
700010202001022942,700010,儿童口罩,20,15,300,2020-01-02 19:29:42
700014202001021742,700014,消毒液,28,27,756,2020-01-02 20:17:42
700015202001022803,700015,驱蚊贴,25,15,375,2020-01-02 20:28:03
700015202001024753,700015,驱蚊贴,25,27,675,2020-01-02 20:47:53
700010202001025952,700010,儿童口罩,20,39,780,2020-01-02 20:59:52
700012202001023325,700012,隔汗巾,8,28,224,2020-01-02 21:33:25
700014202001023749,700014,消毒液,28,11,308,2020-01-02 21:37:49
700012202001022216,700012,隔汗巾,8,22,176,2020-01-02 22:22:16
700011202001023546,700011,袜子,5,26,130,2020-01-02 22:35:46
700012202001024524,700012,隔汗巾,8,15,120,2020-01-02 22:45:24
700014202001022950,700014,消毒液,28,26,728,2020-01-02 23:29:50
700012202001031628,700012,隔汗巾,8,23,184,2020-01-03 00:16:28
700014202001032417,700014,消毒液,28,41,1148,2020-01-03 00:24:17
700013202001031657,700013,酒精棉片,15,38,570,2020-01-03 01:16:57
700014202001033824,700014,消毒液,28,29,812,2020-01-03 01:38:24
700012202001030109,700012,隔汗巾,8,17,136,2020-01-03 03:01:09
700014202001032926,700014,消毒液,28,20,560,2020-01-03 03:29:26
700012202001035830,700012,隔汗巾,8,16,128,2020-01-03 03:58:30
700015202001033819,700015,驱蚊贴,25,23,575,2020-01-03 05:38:19
700014202001034147,700014,消毒液,28,27,756,2020-01-03 05:41:47
700014202001034904,700014,消毒液,28,35,980,2020-01-03 05:49:04
700011202001032126,700011,袜子,5,15,75,2020-01-03 06:21:26
700014202001032601,700014,消毒液,28,28,784,2020-01-03 06:26:01
700010202001033436,700010,儿童口罩,20,18,360,2020-01-03 07:34:36
700015202001033920,700015,驱蚊贴,25,5,125,2020-01-03 07:39:20
700014202001035035,700014,消毒液,28,34,952,2020-01-03 07:50:35
700012202001035345,700012,隔汗巾,8,13,104,2020-01-03 07:53:45
700012202001032402,700012,隔汗巾,8,22,176,2020-01-03 08:24:02
700015202001033432,700015,驱蚊贴,25,14,350,2020-01-03 08:34:32
700015202001033459,700015,驱蚊贴,25,9,225,2020-01-03 08:34:59
