订单号,商品ID,商品名,品牌,类别,规格,单价,数量,总价,下单时间
98232019020002,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-02-01 14:45:59
98232019020003,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-02-01 15:21:53
98232019020004,700013,火龙果可乐,君再来牌,饮料,550毫升,5,1,5,2019-02-01 16:49:57
98232019020005,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-02-01 22:05:34
98232019020006,700003,芹菜味口香糖,开口哭牌,零食,100克,15,1,15,2019-02-01 22:20:28
98232019020007,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-02-01 23:03:27
98232019020008,700015,青草味可乐,君再来牌,饮料,550毫升,5,5,25,2019-02-02 09:04:25
98232019020009,700012,没有一点味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 11:08:58
98232019020010,700010,麻辣味口香糖,开口哭牌,零食,200克,20,1,20,2019-02-02 11:24:40
98232019020011,700007,猕猴桃味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 12:07:06
98232019020012,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-02-02 12:44:53
98232019020013,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 14:28:09
98232019020014,700002,榴莲味口香糖,开口哭牌,零食,100克,15,1,15,2019-02-02 17:06:46
98232019020015,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 17:53:09
98232019020016,700015,青草味可乐,君再来牌,饮料,550毫升,5,1,5,2019-02-02 18:35:48
98232019020017,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 19:38:20
98232019020018,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-02-02 19:48:53
98232019020019,700006,没有一点味口香糖,开口哭牌,零食,100克,15,1,15,2019-02-02 20:15:59
98232019020020,700014,有点酸可乐,君再来牌,饮料,550毫升,5,2,10,2019-02-02 20:21:23
98232019020021,700009,芹菜味薯片,开口哭牌,零食,200克,20,1,20,2019-02-02 21:25:42
98232019020022,700014,有点酸可乐,君再来牌,饮料,550毫升,5,1,5,2019-02-02 22:08:07
