日期,城市,订单呼叫次数,订单应答数,完成订单数,订单应答率,订单成交率,新增呼叫乘客数,新增呼叫乘客数,新增激活司机数,司机每日补贴,乘客每日补贴
2020-03-01,NC市,50268,49185,45476,0.978455478634519,0.904670963634917,614,614,140,45279.23,15992.8
2020-03-01,MY市,46023,44808,41370,0.973600156443517,0.898898376898507,825,825,122,39304.71,30190.7
2020-03-01,AB市,76,22,20,0.289473684210526,0.263157894736842,2,2,11,-56.0,3.0
2020-03-01,BZ市,2653,2351,1954,0.886166603844704,0.736524689031285,89,89,44,3814.32,259.2
2020-03-01,DZ市,18001,17010,14362,0.944947502916505,0.797844564190878,264,264,57,19494.09,1511.1
2020-03-01,GA市,10475,10000,8786,0.954653937947494,0.838758949880668,208,208,60,11982.0,1427.3
2020-03-01,SN市,15936,15214,13974,0.954693775100402,0.876882530120482,253,253,52,19447.71,1703.4
2020-03-01,GY市,12275,11447,10306,0.93254582484725,0.83959266802444,175,175,44,16029.21,1372.4
2020-03-01,DY市,37810,37364,35570,0.98820417878868,0.940756413647183,630,630,125,160.23,14171.6
2020-03-02,NC市,48512,47525,43942,0.979654518469657,0.905796503957784,643,643,81,45696.4,20318.5
2020-03-02,MY市,45004,44040,40940,0.978579681806062,0.909696915829704,814,814,69,40947.27,50577.0
2020-03-02,AB市,59,25,22,0.423728813559322,0.372881355932203,6,6,9,-81.0,14.7
2020-03-02,BZ市,2595,2305,1880,0.888246628131021,0.724470134874759,94,94,21,3429.96,304.2
2020-03-02,DZ市,16884,15855,13614,0.939054726368159,0.806325515280739,257,257,28,16144.4,1406.1
2020-03-02,GA市,10409,9891,8525,0.950235373234701,0.819002786050533,195,195,26,10867.05,1163.0
2020-03-02,SN市,15541,14920,13708,0.960041181391159,0.882053921884049,232,232,34,18446.15,1657.8
2020-03-02,GY市,12393,11452,10249,0.924070039538449,0.826999112402163,181,181,26,14791.03,1595.5
2020-03-02,DY市,37272,36786,34995,0.986960721184804,0.938908564069543,640,640,61,67.79,11561.7
2020-03-05,NC市,55875,54569,50262,0.976626398210291,0.899543624161074,925,925,98,38641.66,28976.9
2020-03-05,MY市,57997,55198,49864,0.951738883045675,0.859768608721141,1143,1143,75,59663.61,65301.0
2020-03-05,AB市,98,50,45,0.510204081632653,0.459183673469388,10,10,5,-62.0,43.4
2020-03-05,BZ市,2950,2595,2153,0.879661016949153,0.729830508474576,119,119,22,2493.7,545.1
2020-03-05,DZ市,18438,16953,14311,0.919459811259356,0.776168781863543,331,331,38,19956.53,1947.5
2020-03-05,GA市,11883,11362,9979,0.9561558528991,0.839771101573677,297,297,35,14936.08,1514.6
2020-03-05,SN市,19075,17733,16152,0.929646133682831,0.846762778505898,417,417,45,20682.69,2723.3
2020-03-05,GY市,13225,12389,11067,0.936786389413989,0.836824196597354,226,226,26,12538.22,1860.9
2020-03-05,DY市,44696,43741,41530,0.978633434759263,0.929165920887775,957,957,90,350.93,9367.7
2020-03-04,NC市,55901,54801,50470,0.980322355592923,0.902846102931969,925,925,111,68121.52,29744.9
2020-03-04,MY市,61310,57311,51667,0.934774098841951,0.842717338117762,1355,1355,104,63899.8,74243.3
2020-03-04,AB市,123,39,30,0.317073170731707,0.24390243902439,4,4,9,-81.0,7.2
2020-03-04,BZ市,3080,2697,2193,0.875649350649351,0.712012987012987,135,135,26,3828.78,486.7
2020-03-04,DZ市,19416,17660,14834,0.909559126493613,0.764009064688916,403,403,36,16007.05,2149.7
2020-03-04,GA市,11503,10779,9314,0.937059897418065,0.809701816917326,278,278,50,13451.61,1394.7
2020-03-04,SN市,18038,17043,15500,0.944838673910633,0.859297039583102,385,385,35,22900.08,2633.2
2020-03-04,GY市,13684,12746,11349,0.931452791581409,0.829362759427068,261,261,35,18987.58,2189.4
2020-03-04,DY市,47331,46501,44085,0.982463924277957,0.931419154465361,1052,1052,71,534.96,11229.5
