用户ID,地区,宝宝性别,宝宝年龄
41546168,上海,男,3
41060567,北京,女,1
42894882,哈尔滨,女,1
50020276,成都,男,2
50671186,上海,男,3
47277544,深圳,女,0
24696651,上海,女,2
21264456,兰州,女,2
70059061,成都,男,1
8089511,重庆,男,2
57011090,上海,女,0
42022984,上海,男,2
76597294,深圳,女,2
22047740,哈尔滨,女,0
84510822,武汉,女,2
52226091,兰州,女,1
3471955,深圳,女,0
7214194,兰州,女,2
12027918,武汉,女,1
49914021,重庆,男,2
82604870,重庆,女,3
41579229,重庆,女,1
6021041,武汉,男,1
10086586,哈尔滨,男,1
45201654,重庆,男,3
81419720,深圳,男,2
12629246,成都,男,3
89860174,北京,男,2
84085490,哈尔滨,女,3
99250805,成都,女,2
98475000,重庆,女,1
74670852,兰州,女,1
54405469,成都,女,1
1666794,北京,女,2
5706169,深圳,男,2
7849220,武汉,男,1
82281781,成都,男,1
2248875,哈尔滨,男,0
68009064,武汉,女,0
5900008,成都,男,3
40002696,哈尔滨,男,1
21870200,北京,男,1
20258902,重庆,男,2
41520880,成都,女,2
18609205,重庆,男,3
51820022,深圳,女,0
49181996,哈尔滨,男,3
64699000,重庆,女,1
86691660,兰州,女,2
89147120,成都,女,2
16569707,深圳,女,3
85267021,北京,女,0
9799205,哈尔滨,女,3
52069658,哈尔滨,女,0
82500544,哈尔滨,男,1
6905294,哈尔滨,男,2
84127727,武汉,男,1
79724870,哈尔滨,男,0
89866002,北京,女,1
44741655,北京,男,1
10094992,重庆,女,2
67146942,深圳,男,0
16104600,武汉,男,1
78521782,深圳,男,3
19411291,重庆,男,3
40141076,重庆,女,1
76072449,深圳,男,0
32292719,上海,女,0
86280748,成都,男,3
51576988,兰州,女,0
50058767,成都,男,3
59601074,成都,男,3
60749901,上海,男,1
82900709,深圳,男,2
37157425,武汉,男,2
1609714,成都,女,0
47104524,深圳,男,3
42878105,成都,男,3
56621988,哈尔滨,男,2
5408472,武汉,女,1
14574745,成都,男,3
1010992,武汉,男,1
25105840,兰州,男,1
10004872,上海,男,0
47878219,成都,男,0
87500718,武汉,女,1
60101669,兰州,女,3
88828960,深圳,女,3
5245805,上海,男,0
25784600,武汉,男,0
16054262,哈尔滨,女,2
91990505,重庆,女,2
64480921,重庆,男,2
76657115,重庆,女,1
26920050,重庆,男,1
56608279,成都,男,1
45975846,武汉,男,1
21867142,上海,女,3
40021255,武汉,男,0
21042926,重庆,男,1
2421474,武汉,女,3
7458640,上海,男,2
75156878,深圳,女,0
94019711,兰州,男,2
7096210,重庆,男,1
87986472,北京,女,0
71807009,重庆,女,3
5878705,重庆,女,0
2909779,深圳,男,2
61005688,成都,女,3
60159087,成都,女,3
17510459,哈尔滨,男,1
47647148,重庆,女,0
7018906,上海,女,0
14594114,深圳,女,2
2098600,武汉,女,1
28091280,成都,女,2
40502809,兰州,男,1
10018790,重庆,男,3
45277067,哈尔滨,男,0
50280009,重庆,女,1
9800499,深圳,男,0
30124216,武汉,男,1
1089507,重庆,男,2
7060570,成都,男,2
77055288,重庆,男,2
9440417,兰州,女,2
56208486,哈尔滨,男,1
77969082,兰州,男,0
50125707,兰州,女,2
80057015,兰州,男,2
1201211,成都,女,1
58506081,深圳,男,1
33271197,武汉,男,1
62626701,上海,女,1
47702286,武汉,男,1
9451510,兰州,男,0
49125502,哈尔滨,男,0
47500504,武汉,女,3
44818524,重庆,女,0
68408,上海,男,1
25784988,武汉,男,3
69997521,北京,女,0
41455642,哈尔滨,女,2
71740107,重庆,男,2
59596109,武汉,男,0
99004122,成都,女,1
10165186,兰州,女,1
21844117,重庆,女,0
17087464,重庆,女,1
58157042,上海,男,2
20055765,重庆,男,0
59788247,北京,男,0
7576999,深圳,女,2
54842600,兰州,女,0
778650,重庆,女,0
7099490,上海,男,2
16492802,兰州,女,1
67100206,上海,男,0
91171091,哈尔滨,男,2
10507000,北京,女,0
92744045,哈尔滨,女,3
41605470,北京,男,2
21750801,深圳,男,1
49786054,成都,男,1
82046471,哈尔滨,男,0
98618792,上海,女,2
64220464,重庆,女,3
9050,兰州,男,2
17204077,哈尔滨,男,1
8452220,成都,女,1
2401470,武汉,男,3
6887989,兰州,女,1
51482519,深圳,女,1
64092277,武汉,女,3
26890812,北京,女,0
87576695,成都,男,0
90204512,北京,男,3
1291769,哈尔滨,女,3
60787022,重庆,男,3
49862585,武汉,男,2
40550550,武汉,女,2
89144490,北京,女,0
70405708,成都,女,1
27414281,成都,女,0
61947542,哈尔滨,女,3
74904892,上海,男,2
80499027,重庆,男,0
42191150,上海,男,1
59065660,哈尔滨,男,0
61866297,北京,女,0
19020025,深圳,男,2
20278209,哈尔滨,男,1
11057221,哈尔滨,女,1
46004080,重庆,男,1
9162029,成都,男,3
40549020,哈尔滨,女,1
57290200,哈尔滨,男,2
781061,哈尔滨,男,1
50582956,成都,女,2
96000012,哈尔滨,男,3
59407080,兰州,男,3
28070677,深圳,男,2
65055102,重庆,女,3
