订单号,用户ID,商品ID,商品名,单价,数量,总价,下单时间,
700010202001010045,41546168,700010,儿童口罩,20,22,440,2020-07-01 01:00:45,
700010202001010047,41363567,700010,儿童口罩,20,20,400,2020-07-01 02:00:47,
700010202001011009,42894882,700010,儿童口罩,20,20,400,2020-07-01 07:10:09,
700010202001013626,50320276,700010,儿童口罩,20,20,400,2020-07-01 07:36:26,
700010202001010015,50671186,700010,儿童口罩,20,18,360,2020-07-01 08:00:15,
700010202001010614,47277544,700010,儿童口罩,20,23,460,2020-07-01 08:06:14,
700010202001010614,24696651,700010,儿童口罩,20,29,580,2020-07-01 08:06:14,
700010202001011932,21264456,700010,儿童口罩,20,46,920,2020-07-01 08:19:32,
700010202001014029,81419723,700010,儿童口罩,20,18,360,2020-07-01 10:40:29,
700010202001014509,12629246,700010,儿童口罩,20,23,460,2020-07-01 10:45:09,
700010202001014832,89863174,700010,儿童口罩,20,20,400,2020-07-01 10:48:32,
700010202001014832,84085493,700010,儿童口罩,20,20,400,2020-07-01 10:48:32,
700010202001015420,99250835,700010,儿童口罩,20,23,460,2020-07-01 10:54:20,
700010202001015803,98475333,700010,儿童口罩,20,20,400,2020-07-01 10:58:03,
700010202001010048,74670852,700010,儿童口罩,20,24,480,2020-07-01 11:00:48,
700010202001011446,54405469,700010,儿童口罩,20,45,900,2020-07-01 11:14:46,
700010202001012412,1666794,700010,儿童口罩,20,20,400,2020-07-01 11:24:12,
700010202001012412,5706169,700010,儿童口罩,20,25,500,2020-07-01 11:24:12,
700010202001013519,37849223,700010,儿童口罩,20,19,380,2020-07-01 11:35:19,
700010202001013718,82281781,700010,儿童口罩,20,23,460,2020-07-01 11:37:18,
700010202001014004,2248875,700010,儿童口罩,20,19,380,2020-07-01 11:40:04,
700010202001014332,68039364,700010,儿童口罩,20,19,380,2020-07-01 11:43:32,
700010202001014332,5930038,700010,儿童口罩,20,15,300,2020-07-01 11:43:32,
700010202001011231,43032696,700010,儿童口罩,20,12,240,2020-07-01 12:12:31,
700010202001013838,21873203,700010,儿童口罩,20,20,400,2020-07-01 12:38:38,
700010202001013838,23258902,700010,儿童口罩,20,25,500,2020-07-01 12:38:38,
700010202001011520,41520883,700010,儿童口罩,20,23,460,2020-07-01 13:15:20,
700010202001013307,18639235,700010,儿童口罩,20,16,320,2020-07-01 13:33:07,
700010202001013307,51820322,700010,儿童口罩,20,19,380,2020-07-01 13:33:07,
700010202001013533,49181996,700010,儿童口罩,20,10,200,2020-07-01 13:35:33,
700010202001013533,64699000,700010,儿童口罩,20,34,680,2020-07-01 13:35:33,
700010202001013954,86691663,700010,儿童口罩,20,15,300,2020-07-01 13:39:54,
700010202001014015,89147123,700010,儿童口罩,20,30,600,2020-07-01 13:40:15,
700010202001015127,16569737,700010,儿童口罩,20,23,460,2020-07-01 13:51:27,
700010202001011131,85267321,700010,儿童口罩,20,10,200,2020-07-01 14:11:31,
700010202001011131,9799235,700010,儿童口罩,20,25,500,2020-07-01 14:11:31,
700010202001012541,52369658,700010,儿童口罩,20,12,240,2020-07-01 14:25:41,
700010202001012541,82503544,700010,儿童口罩,20,16,320,2020-07-01 14:25:41,
700010202001012715,6905294,700010,儿童口罩,20,15,300,2020-07-01 14:27:15,
700010202001013549,84127727,700010,儿童口罩,20,10,200,2020-07-01 14:35:49,
700010202001014042,79724870,700010,儿童口罩,20,23,460,2020-07-01 14:40:42,
700010202001014042,89866332,700010,儿童口罩,20,5,100,2020-07-01 14:40:42,
700010202001014559,44741655,700010,儿童口罩,20,12,240,2020-07-01 14:45:59,
700010202001015022,13094992,700010,儿童口罩,20,23,460,2020-07-01 14:50:22,
700010202001010001,67146942,700010,儿童口罩,20,10,200,2020-07-01 15:00:01,
700010202001010001,16104603,700010,儿童口罩,20,17,340,2020-07-01 15:00:01,
700010202001030058,35655382,700010,儿童口罩,20,12,240,2020-07-03 23:00:58,
700010202001030254,52907906,700010,儿童口罩,20,20,400,2020-07-03 23:02:54,
700010202001030254,77044945,700010,儿童口罩,20,25,500,2020-07-03 23:02:54,
700010202001030349,96994626,700010,儿童口罩,20,25,500,2020-07-03 23:03:49,
700010202001030351,78298867,700010,儿童口罩,20,14,280,2020-07-03 23:03:51,
700010202001030351,26449087,700010,儿童口罩,20,15,300,2020-07-03 23:03:51,
700010202001031006,93034195,700010,儿童口罩,20,25,500,2020-07-03 23:10:06,
700010202001031006,42354012,700010,儿童口罩,20,20,400,2020-07-03 23:10:06,
700010202001033732,97082558,700010,儿童口罩,20,18,360,2020-07-03 23:37:32,
700010202001033732,61942208,700010,儿童口罩,20,15,300,2020-07-03 23:37:32,
700010202001034455,88231185,700010,儿童口罩,20,15,300,2020-07-03 23:44:55,
700010202001034616,93174523,700010,儿童口罩,20,22,440,2020-07-03 23:46:16,
700010202001034616,63122417,700010,儿童口罩,20,25,500,2020-07-03 23:46:16,
700010202001042500,56351602,700010,儿童口罩,20,19,380,2020-07-04 07:25:00,
700010202001042500,86787603,700010,儿童口罩,20,25,500,2020-07-04 07:25:00,
700010202001043453,25853542,700010,儿童口罩,20,15,300,2020-07-04 07:34:53,
700010202001043538,69722528,700010,儿童口罩,20,15,300,2020-07-04 07:35:38,
700010202001044356,8537417,700010,儿童口罩,20,35,700,2020-07-04 07:43:56,
700010202001045443,69977655,700010,儿童口罩,20,15,300,2020-07-04 07:54:43,
700010202001045443,65914021,700010,儿童口罩,20,18,360,2020-07-04 07:54:43,
700010202001045613,79421548,700010,儿童口罩,20,20,400,2020-07-04 07:56:13,
700010202001045929,62592171,700010,儿童口罩,20,15,300,2020-07-04 07:59:29,
700010202001045929,70966548,700010,儿童口罩,20,15,300,2020-07-04 07:59:29,
700010202001041119,93128130,700010,儿童口罩,20,30,600,2020-07-04 10:11:19,
700010202001041351,72838341,700010,儿童口罩,20,15,300,2020-07-04 10:13:51,
700010202001041351,91686103,700010,儿童口罩,20,15,300,2020-07-04 10:13:51,
700010202001042423,10917405,700010,儿童口罩,20,30,600,2020-07-04 10:24:23,
700010202001042423,67693090,700010,儿童口罩,20,18,360,2020-07-04 10:24:23,
700010202001043133,55015029,700010,儿童口罩,20,15,300,2020-07-04 10:31:33,
700010202001043133,68273071,700010,儿童口罩,20,25,500,2020-07-04 10:31:33,
700010202001043133,94231143,700010,儿童口罩,20,25,500,2020-07-04 10:31:33,
700010202001043316,79141998,700010,儿童口罩,20,12,240,2020-07-04 10:33:16,
700010202001044939,4116716,700010,儿童口罩,20,20,400,2020-07-04 12:49:39,
700010202001045241,70685674,700010,儿童口罩,20,46,920,2020-07-04 12:52:41,
700010202001040222,18252281,700010,儿童口罩,20,18,360,2020-07-04 13:02:22,
700010202001041714,73231025,700010,儿童口罩,20,25,500,2020-07-04 13:17:14,
700010202001043210,99319414,700010,儿童口罩,20,20,400,2020-07-04 13:32:10,
700010202001041637,8333205,700010,儿童口罩,20,15,300,2020-07-04 14:16:37,
700010202001041637,67836525,700010,儿童口罩,20,15,300,2020-07-04 14:16:37,
700010202001042036,78943519,700010,儿童口罩,20,15,300,2020-07-04 14:20:36,
700010202001042036,2159965,700010,儿童口罩,20,23,460,2020-07-04 14:20:36,
700010202001043028,27224492,700010,儿童口罩,20,45,900,2020-07-04 14:30:28,
700010202001043028,97641289,700010,儿童口罩,20,16,320,2020-07-04 14:30:28,
700010202001040449,58258682,700010,儿童口罩,20,15,300,2020-07-04 15:04:49,
700010202001040449,59842706,700010,儿童口罩,20,18,360,2020-07-04 15:04:49,
700010202001040500,36623494,700010,儿童口罩,20,12,240,2020-07-04 15:05:00,
700010202001040500,65791643,700010,儿童口罩,20,5,100,2020-07-04 15:05:00,
700010202001040600,85165695,700010,儿童口罩,20,20,400,2020-07-04 15:06:00,
700010202001040546,98146850,700010,儿童口罩,20,5,100,2020-07-04 16:05:46,
700010202001040546,71874728,700010,儿童口罩,20,10,200,2020-07-04 16:05:46,
700010202001041044,33074796,700010,儿童口罩,20,23,460,2020-07-04 16:10:44,
700010202001041657,77833455,700010,儿童口罩,20,23,460,2020-07-04 16:16:57,
700010202001043833,51499950,700010,儿童口罩,20,29,580,2020-07-04 16:38:33,
700010202001043833,53191655,700010,儿童口罩,20,20,400,2020-07-04 16:38:33,
700010202001042105,66477835,700010,儿童口罩,20,5,100,2020-07-04 17:21:05,
700010202001042105,48185870,700010,儿童口罩,20,20,400,2020-07-04 17:21:05,
700010202001042351,27219705,700010,儿童口罩,20,15,300,2020-07-04 17:23:51,
700010202001043055,49663978,700010,儿童口罩,20,43,860,2020-07-04 17:30:55,
700010202001043055,80594123,700010,儿童口罩,20,15,300,2020-07-04 17:30:55,
700010202001043132,70143810,700010,儿童口罩,20,19,380,2020-07-04 17:31:32,
700010202001043132,81022414,700010,儿童口罩,20,22,440,2020-07-04 17:31:32,
700010202001043208,40871198,700010,儿童口罩,20,15,300,2020-07-04 17:32:08,
700010202001043208,31971304,700010,儿童口罩,20,12,240,2020-07-04 17:32:08,
700010202001044358,80121812,700010,儿童口罩,20,20,400,2020-07-04 17:43:58,
700010202001045149,75900973,700010,儿童口罩,20,15,300,2020-07-04 17:51:49,
700010202001045247,24713013,700010,儿童口罩,20,18,360,2020-07-04 17:52:47,
700010202001040037,82849052,700010,儿童口罩,20,12,240,2020-07-04 18:00:37,
700010202001040037,75886441,700010,儿童口罩,20,30,600,2020-07-04 18:00:37,
700010202001040246,62843019,700010,儿童口罩,20,25,500,2020-07-04 18:02:46,
700010202001040246,99606708,700010,儿童口罩,20,10,200,2020-07-04 18:02:46,
700010202001041610,15549594,700010,儿童口罩,20,15,300,2020-07-04 18:16:10,
700010202001041610,82862487,700010,儿童口罩,20,18,360,2020-07-04 18:16:10,
700010202001043803,47401171,700010,儿童口罩,20,12,240,2020-07-04 18:38:03,
700010202001043803,24359955,700010,儿童口罩,20,23,460,2020-07-04 18:38:03,
700010202001045005,93035874,700010,儿童口罩,20,15,300,2020-07-04 18:50:05,
700010202001040255,37064965,700010,儿童口罩,20,5,100,2020-07-04 19:02:55,
700010202001041002,36195893,700010,儿童口罩,20,15,300,2020-07-04 19:10:02,
700010202001041152,74440844,700010,儿童口罩,20,25,500,2020-07-04 19:11:52,
700010202001041152,27902727,700010,儿童口罩,20,12,240,2020-07-04 19:11:52,
700010202001041353,94477036,700010,儿童口罩,20,15,300,2020-07-04 19:13:53,
700010202001041358,44313103,700010,儿童口罩,20,46,920,2020-07-04 19:13:58,
700010202001041358,79056723,700010,儿童口罩,20,45,900,2020-07-04 19:13:58,
700010202001041608,53598913,700010,儿童口罩,20,15,300,2020-07-04 19:16:08,
700010202001041608,36601288,700010,儿童口罩,20,22,440,2020-07-04 19:16:08,
700010202001044930,59422021,700010,儿童口罩,20,15,300,2020-07-04 19:49:30,
700010202001044930,1367424,700010,儿童口罩,20,12,240,2020-07-04 19:49:30,
700010202001045204,55529397,700010,儿童口罩,20,38,760,2020-07-04 19:52:04,
700010202001045756,85345621,700010,儿童口罩,20,19,380,2020-07-04 19:57:56,
700010202001045756,52290103,700010,儿童口罩,20,45,900,2020-07-04 19:57:56,
700010202001040434,70783931,700010,儿童口罩,20,30,600,2020-07-04 20:04:34,
700010202001040434,27606545,700010,儿童口罩,20,25,500,2020-07-04 20:04:34,
700010202001042128,42533402,700010,儿童口罩,20,46,920,2020-07-04 20:21:28,
700010202001044213,72567712,700010,儿童口罩,20,10,200,2020-07-04 20:42:13,
700010202001044213,99522740,700010,儿童口罩,20,29,580,2020-07-04 20:42:13,
700010202001041844,16963574,700010,儿童口罩,20,18,360,2020-07-04 21:18:44,
700010202001050410,15552319,700010,儿童口罩,20,25,500,2020-07-05 09:04:10,
700010202001051746,22378145,700010,儿童口罩,20,18,360,2020-07-05 09:17:46,
700010202001053404,75188091,700010,儿童口罩,20,16,320,2020-07-05 09:34:04,
700010202001050022,9259217,700010,儿童口罩,20,12,240,2020-07-05 10:00:22,
700010202001052900,2801682,700010,儿童口罩,20,25,500,2020-07-05 10:29:00,
700010202001053048,51495835,700010,儿童口罩,20,15,300,2020-07-05 10:30:48,
