date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-01-02,sh.600004,14.7300,14.8500,14.5900,14.8000,14.7000,13127900,193508326.0000,3,0.634406,1,0.680275,0
2018-01-03,sh.600004,14.8400,14.8400,14.6500,14.8000,14.8000,15046954,222055580.0000,3,0.727145,1,0.000000,0
2018-01-04,sh.600004,14.7500,14.7800,14.5400,14.6200,14.8000,18563569,271737272.0000,3,0.897085,1,-1.216218,0
2018-01-05,sh.600004,14.6000,14.6700,14.4800,14.5700,14.6200,11979532,174297478.0000,3,0.578911,1,-0.341999,0
2018-01-08,sh.600004,14.6800,14.6900,14.4100,14.5000,14.5700,16492258,239516323.0000,3,0.796989,1,-0.480437,0
2018-01-09,sh.600004,14.4600,15.0300,14.3700,15.0200,14.5000,21186005,312458529.0000,3,1.023815,1,3.586210,0
2018-01-10,sh.600004,15.0200,15.0200,14.7100,14.8500,15.0200,17674001,262194308.0000,3,0.854097,1,-1.131825,0
2018-01-11,sh.600004,14.6800,14.9300,14.6800,14.6900,14.8500,10981364,162262894.0000,3,0.530675,1,-1.077446,0
2018-01-12,sh.600004,14.6800,15.0300,14.6400,14.9500,14.6900,17402475,258716172.0000,3,0.840975,1,1.769913,0
2018-01-15,sh.600004,14.9000,15.5900,14.8300,15.4000,14.9500,33936533,520366317.0000,3,1.639984,1,3.010032,0
2018-01-16,sh.600004,15.3200,15.8700,15.3200,15.8300,15.4000,29974451,469740225.0000,3,1.448517,1,2.792210,0
2018-01-17,sh.600004,15.8000,15.9000,15.3800,15.6800,15.8300,18631368,290662786.0000,3,0.900362,1,-0.947565,0
2018-01-18,sh.600004,15.6000,16.0800,15.5600,15.8600,15.6800,15433621,244845462.0000,3,0.745830,1,1.147955,0
2018-01-19,sh.600004,15.8600,16.0500,15.6300,15.7600,15.8600,14899530,236123314.0000,3,0.720020,1,-0.630513,0
2018-01-22,sh.600004,15.7700,16.0000,15.5200,15.9600,15.7600,13056478,205710388.0000,3,0.630955,1,1.269034,0
2018-01-23,sh.600004,15.9000,16.5500,15.9000,16.4900,15.9600,19417939,317270193.0000,3,0.938373,1,3.320800,0
2018-01-24,sh.600004,16.3600,16.8000,16.2600,16.7500,16.4900,21905059,362896205.0000,3,1.058563,1,1.576715,0
2018-01-25,sh.600004,16.6600,16.6600,16.1800,16.4400,16.7500,15224843,250022134.0000,3,0.735741,1,-1.850743,0
2018-01-26,sh.600004,16.4900,16.6600,16.2700,16.5300,16.4400,11883909,195677853.0000,3,0.574290,1,0.547446,0
2018-01-29,sh.600004,16.5200,16.6400,16.1700,16.4800,16.5300,19815000,324558161.0000,3,0.957561,1,-0.302487,0
2018-01-30,sh.600004,16.3500,16.6900,16.2300,16.6200,16.4800,15204022,251955286.0000,3,0.734735,1,0.849522,0
2018-01-31,sh.600004,16.4100,17.0000,16.2900,16.9000,16.6200,16252045,271772664.0000,3,0.785381,1,1.684710,0
2018-02-01,sh.600004,16.9800,17.2500,16.5500,16.7700,16.9000,18814840,318455014.0000,3,0.909228,1,-0.769226,0
2018-02-02,sh.600004,16.5800,17.3000,16.0900,17.2200,16.7700,20182601,337333239.0000,3,0.975325,1,2.683356,0
2018-02-05,sh.600004,16.7800,17.4100,16.6000,17.1500,17.2200,23345851,397108324.0000,3,1.128189,1,-0.406502,0
2018-02-06,sh.600004,16.5500,16.8800,16.1700,16.2000,17.1500,29526124,484236643.0000,3,1.426851,1,-5.539352,0
2018-02-07,sh.600004,16.5700,16.6300,15.3100,15.4900,16.2000,25909388,411557112.0000,3,1.252072,1,-4.382722,0
2018-02-08,sh.600004,15.5000,15.7900,15.1000,15.3700,15.4900,15033867,231487876.0000,3,0.726512,1,-0.774693,0
2018-02-09,sh.600004,14.9000,15.0600,14.0000,14.9000,15.3700,36118023,531786995.0000,3,1.745405,1,-3.057907,0
2018-02-12,sh.600004,14.9000,15.4800,14.8300,15.3200,14.9000,12120357,184193683.0000,3,0.585717,1,2.818793,0
2018-02-13,sh.600004,15.4500,16.0900,15.4500,15.6100,15.3200,13573885,214452309.0000,3,0.655959,1,1.892950,0
2018-02-14,sh.600004,15.7900,16.0900,15.4800,15.9300,15.6100,10124497,160323910.0000,3,0.489267,1,2.049972,0
2018-02-22,sh.600004,16.1500,16.6700,16.0400,16.5800,15.9300,10427022,171275489.0000,3,0.503886,1,4.080349,0
2018-02-23,sh.600004,16.6500,16.6500,16.2100,16.4900,16.5800,9203697,151012543.0000,3,0.444769,1,-0.542824,0
2018-02-26,sh.600004,16.4800,17.1500,16.4700,17.0000,16.4900,14437622,244010865.0000,3,0.697699,1,3.092785,0
2018-02-27,sh.600004,17.0500,17.1700,16.6000,16.6500,17.0000,8544690,143501260.0000,3,0.412923,1,-2.058826,0
2018-02-28,sh.600004,16.6000,16.6000,16.1900,16.3700,16.6500,10039075,164408151.0000,3,0.485139,1,-1.681674,0
2018-03-01,sh.600004,16.3000,16.5200,16.2400,16.3600,16.3700,5939912,97434465.0000,3,0.287046,1,-0.061089,0
2018-03-02,sh.600004,16.2900,16.3600,16.0500,16.1900,16.3600,6348477,102907705.0000,3,0.306790,1,-1.039120,0
2018-03-05,sh.600004,16.1200,16.4100,16.1100,16.1700,16.1900,5713811,92837108.0000,3,0.276120,1,-0.123536,0
2018-03-06,sh.600004,16.3000,16.3300,15.7300,16.3100,16.1700,9920998,159088452.0000,3,0.479433,1,0.865797,0
2018-03-07,sh.600004,16.3200,16.3500,15.8800,15.9700,16.3100,7125420,114876216.0000,3,0.344336,1,-2.084606,0
2018-03-08,sh.600004,16.0200,16.1700,15.9000,16.1500,15.9700,5373444,86146194.0000,3,0.259672,1,1.127109,0
2018-03-09,sh.600004,16.1700,16.4300,16.1500,16.3000,16.1500,8153400,132800621.0000,3,0.394013,1,0.928790,0
2018-03-12,sh.600004,16.2900,16.5700,16.2600,16.5000,16.3000,10818460,178065821.0000,3,0.522803,1,1.226999,0
2018-03-13,sh.600004,16.4500,16.5800,16.1000,16.1300,16.5000,8581168,139807564.0000,3,0.414685,1,-2.242429,0
2018-03-14,sh.600004,16.1400,16.1400,15.8500,15.9400,16.1300,6317731,100719763.0000,3,0.305305,1,-1.177927,0
2018-03-15,sh.600004,15.9100,16.1500,15.8700,15.9900,15.9400,4955745,79244962.0000,3,0.239487,1,0.313677,0
2018-03-16,sh.600004,16.0000,16.2000,15.9000,15.9300,15.9900,3977509,63719814.0000,3,0.192213,1,-0.375231,0
2018-03-19,sh.600004,15.9000,15.9000,15.7000,15.8200,15.9300,5517563,87126243.0000,3,0.266636,1,-0.690525,0
2018-03-20,sh.600004,15.7200,15.9500,15.7000,15.8700,15.8200,4136883,65497943.0000,3,0.199915,1,0.316057,0
2018-03-21,sh.600004,15.8700,15.9900,15.8100,15.8300,15.8700,5396018,85828469.0000,3,0.260763,1,-0.252048,0
2018-03-22,sh.600004,15.8300,15.9300,15.4500,15.5400,15.8300,9583178,149391543.0000,3,0.463107,1,-1.831964,0
2018-03-23,sh.600004,15.0100,15.3800,14.8800,15.2300,15.5400,12757897,193592668.0000,3,0.616526,1,-1.994855,0
2018-03-26,sh.600004,15.1800,15.3800,14.9200,15.2300,15.2300,10683027,161363420.0000,3,0.516258,1,0.000000,0
2018-03-27,sh.600004,15.3600,15.7300,15.3600,15.6100,15.2300,9583308,149324771.0000,3,0.463114,1,2.495076,0
2018-03-28,sh.600004,15.4000,15.6800,14.9900,15.0600,15.6100,12360697,188992183.0000,3,0.597331,1,-3.523378,0
2018-03-29,sh.600004,15.0800,15.5000,14.8200,15.4300,15.0600,10386270,157893131.0000,3,0.501917,1,2.456838,0
2018-03-30,sh.600004,15.4300,15.7700,15.3500,15.6400,15.4300,7111866,110773488.0000,3,0.343681,1,1.360985,0
2018-04-02,sh.600004,15.6100,15.6800,15.2000,15.2400,15.6400,6476907,100053095.0000,3,0.312997,1,-2.557548,0
2018-04-03,sh.600004,15.0400,15.4800,15.0200,15.4700,15.2400,7213492,110248551.0000,3,0.348592,1,1.509190,0
2018-04-04,sh.600004,15.4700,15.6500,15.4200,15.4600,15.4700,9014096,140306467.0000,3,0.435607,1,-0.064643,0
2018-04-09,sh.600004,15.4300,15.6400,15.3100,15.6300,15.4600,6797947,105670893.0000,3,0.328511,1,1.099612,0
2018-04-10,sh.600004,15.7200,16.0900,15.6300,16.0200,15.6300,12501555,199183786.0000,3,0.604138,1,2.495204,0
2018-04-11,sh.600004,16.0400,16.3400,16.0400,16.2200,16.0200,8091388,131052612.0000,3,0.391017,1,1.248432,0
2018-04-12,sh.600004,16.2000,16.3400,16.0900,16.2600,16.2200,9471382,153421418.0000,3,0.457705,1,0.246615,0
2018-04-13,sh.600004,16.2700,16.4000,15.7800,15.8800,16.2600,8533422,136843965.0000,3,0.412378,1,-2.337024,0
2018-04-16,sh.600004,15.8400,16.1000,15.4300,15.6400,15.8800,8678436,136381619.0000,3,0.419386,1,-1.511334,0
2018-04-17,sh.600004,15.6300,15.7400,15.1500,15.1900,15.6400,9924498,152980837.0000,3,0.479602,1,-2.877243,0
2018-04-18,sh.600004,15.3400,15.4000,14.9000,15.2200,15.1900,10875651,164229578.0000,3,0.525566,1,0.197503,0
2018-04-19,sh.600004,15.2300,15.4400,15.0300,15.4000,15.2200,6337422,96992410.0000,3,0.306256,1,1.182650,0
2018-04-20,sh.600004,15.4300,15.4500,15.1000,15.2300,15.4000,7355295,112319838.0000,3,0.355445,1,-1.103897,0
2018-04-23,sh.600004,15.2500,15.3400,14.7400,14.8300,15.2300,11594541,173696913.0000,3,0.560307,1,-2.626393,0
2018-04-24,sh.600004,14.8400,15.3200,14.8400,15.1800,14.8300,10568021,159726058.0000,3,0.510700,1,2.360084,0
2018-04-25,sh.600004,15.2000,15.3400,15.1100,15.2900,15.1800,7213335,109963103.0000,3,0.348585,1,0.724635,0
2018-04-26,sh.600004,15.3000,15.3500,14.9800,15.1300,15.2900,6072588,91795821.0000,3,0.293458,1,-1.046435,0
2018-04-27,sh.600004,15.2000,15.2700,14.8900,15.2200,15.1300,6985788,105378757.0000,3,0.337588,1,0.594846,0
2018-05-02,sh.600004,15.2300,15.4300,15.0500,15.3900,15.2200,8094412,123385176.0000,3,0.391163,1,1.116952,0
2018-05-03,sh.600004,15.3300,15.3600,15.0700,15.2900,15.3900,7160056,109111154.0000,3,0.346010,1,-0.649775,0
2018-05-04,sh.600004,15.2300,15.3300,15.0400,15.1000,15.2900,6459884,98043215.0000,3,0.312174,1,-1.242640,0
2018-05-07,sh.600004,15.2200,15.4000,15.0600,15.3500,15.1000,7909537,120724917.0000,3,0.382229,1,1.655629,0
2018-05-08,sh.600004,15.3900,15.7700,15.3800,15.7600,15.3500,12410996,193415833.0000,3,0.599762,1,2.671009,0
2018-05-09,sh.600004,15.8600,15.9000,15.6300,15.8300,15.7600,10179742,160435549.0000,3,0.491936,1,0.444161,0
2018-05-10,sh.600004,15.8500,16.3300,15.8500,16.2500,15.8300,13823910,222425819.0000,3,0.668041,1,2.653191,0
2018-05-11,sh.600004,16.2900,16.3800,16.0400,16.2400,16.2500,9804921,159032913.0000,3,0.473823,1,-0.061540,0
2018-05-14,sh.600004,16.2200,16.3800,15.8400,16.0500,16.2400,14552064,233573098.0000,3,0.703229,1,-1.169954,0
2018-05-15,sh.600004,16.0500,16.1000,15.8300,16.0800,16.0500,10436016,166659516.0000,3,0.504321,1,0.186920,0
2018-05-16,sh.600004,16.0000,16.1700,15.9000,15.9500,16.0800,9208918,147584804.0000,3,0.445021,1,-0.808458,0
2018-05-17,sh.600004,15.9400,16.1300,15.9200,16.0100,15.9500,7712410,123707103.0000,3,0.372703,1,0.376178,0
2018-05-18,sh.600004,15.9500,16.0600,15.7400,16.0000,16.0100,7697640,122294288.0000,3,0.371989,1,-0.062462,0
2018-05-21,sh.600004,16.1900,16.3500,16.0400,16.1300,16.0000,10001106,162124722.0000,3,0.483304,1,0.812495,0
2018-05-22,sh.600004,16.1800,16.2000,15.9600,15.9800,16.1300,5907950,94872898.0000,3,0.285502,1,-0.929942,0
2018-05-23,sh.600004,16.0300,16.0600,15.6100,15.6200,15.9800,11428930,180180257.0000,3,0.552304,1,-2.252814,0
2018-05-24,sh.600004,15.6200,15.7300,15.5300,15.5500,15.6200,6805532,106348263.0000,3,0.328878,1,-0.448141,0
2018-05-25,sh.600004,15.5900,15.6500,15.2500,15.4000,15.5500,11218296,173285341.0000,3,0.542125,1,-0.964634,0
2018-05-28,sh.600004,15.4500,15.8900,15.3500,15.8800,15.4000,11865296,185993931.0000,3,0.573391,1,3.116887,0
2018-05-29,sh.600004,15.8300,16.1000,15.6700,16.0400,15.8800,15653399,249699730.0000,3,0.756451,1,1.007562,0
2018-05-30,sh.600004,15.8800,16.1700,15.7200,15.8600,16.0400,13182173,209967462.0000,3,0.637029,1,-1.122202,0
2018-05-31,sh.600004,15.9600,16.6600,15.9100,16.6200,15.8600,28507493,465006963.0000,3,1.377626,1,4.791937,0
2018-06-01,sh.600004,16.5200,16.7200,16.2800,16.5600,16.6200,17187486,283441826.0000,3,0.830586,1,-0.361019,0
2018-06-04,sh.600004,16.6300,17.1100,16.6200,17.0900,16.5600,27746285,469179116.0000,3,1.340840,1,3.200487,0
2018-06-05,sh.600004,17.1500,17.5000,17.0000,17.3400,17.0900,17953255,310446283.0000,3,0.867592,1,1.462844,0
2018-06-06,sh.600004,17.3600,18.2500,17.2300,17.9400,17.3400,21760012,388037721.0000,3,1.051553,1,3.460210,0
2018-06-07,sh.600004,17.9400,18.0900,17.5000,17.7800,17.9400,16971877,301120403.0000,3,0.820167,1,-0.891861,0
2018-06-08,sh.600004,17.6300,18.1800,17.5800,17.9200,17.7800,14414530,256880436.0000,3,0.696583,1,0.787398,0
2018-06-11,sh.600004,17.7600,17.9800,17.5500,17.6900,17.9200,10016082,177772035.0000,3,0.484028,1,-1.283480,0
