date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-10-08,sh.601390,6.0000,6.0700,5.9900,6.0400,6.0000,21500486,129691598.0000,3,0.115400,1,0.666700,0
2019-10-09,sh.601390,6.0200,6.0700,6.0000,6.0600,6.0400,17375417,105041700.0000,3,0.093200,1,0.331100,0
2019-10-10,sh.601390,6.0600,6.0700,6.0000,6.0400,6.0600,25548149,154287987.0000,3,0.137100,1,-0.330000,0
2019-10-11,sh.601390,6.0400,6.0600,5.9900,6.0500,6.0400,25751537,155252690.0000,3,0.138200,1,0.165600,0
2019-10-14,sh.601390,6.0800,6.1300,6.0500,6.0800,6.0500,38178083,232483695.0000,3,0.204900,1,0.495900,0
2019-10-15,sh.601390,6.0800,6.0800,6.0200,6.0300,6.0800,22862505,138294622.0000,3,0.122700,1,-0.822400,0
2019-10-16,sh.601390,6.0500,6.0900,6.0200,6.0300,6.0300,25061577,151602508.0000,3,0.134500,1,0.000000,0
2019-10-17,sh.601390,6.0200,6.0800,6.0100,6.0300,6.0300,23146976,139676861.0000,3,0.124200,1,0.000000,0
2019-10-18,sh.601390,6.0300,6.0400,5.9300,5.9300,6.0300,30662462,183238553.0000,3,0.164500,1,-1.658400,0
2019-10-21,sh.601390,5.9300,5.9500,5.8500,5.9100,5.9300,25518385,150422621.0000,3,0.136900,1,-0.337300,0
2019-10-22,sh.601390,5.9200,5.9300,5.8500,5.9000,5.9100,25310247,148702416.0000,3,0.135800,1,-0.169200,0
2019-10-23,sh.601390,5.8800,5.9200,5.8500,5.8800,5.9000,40902903,240240273.0000,3,0.219500,1,-0.339000,0
2019-10-24,sh.601390,5.8900,5.9000,5.8500,5.8700,5.8800,25455068,149356992.0000,3,0.136600,1,-0.170100,0
2019-10-25,sh.601390,5.9000,5.9000,5.8300,5.8800,5.8700,30519276,178759862.0000,3,0.163800,1,0.170400,0
2019-10-28,sh.601390,5.8800,5.9100,5.8500,5.9100,5.8800,45188671,265397087.0000,3,0.242500,1,0.510200,0
2019-10-29,sh.601390,5.9000,5.9100,5.8400,5.8500,5.9100,36470504,213682750.0000,3,0.195700,1,-1.015200,0
2019-10-30,sh.601390,5.8400,5.8500,5.7500,5.7700,5.8500,39342601,227825647.0000,3,0.211100,1,-1.367500,0
2019-10-31,sh.601390,5.8100,5.8200,5.7500,5.7600,5.7700,35480189,205015047.0000,3,0.190400,1,-0.173300,0
2019-11-01,sh.601390,5.7600,5.8300,5.7400,5.8300,5.7600,43725036,253792713.0000,3,0.234600,1,1.215300,0
2019-11-04,sh.601390,5.8400,5.9100,5.8300,5.8700,5.8300,57810406,339017205.0000,3,0.310200,1,0.686100,0
2019-11-05,sh.601390,5.8900,5.9800,5.8500,5.9400,5.8700,68905463,408103876.0000,3,0.369700,1,1.192500,0
2019-11-06,sh.601390,5.9400,5.9500,5.8600,5.9300,5.9400,50669571,298592434.0000,3,0.271900,1,-0.168400,0
2019-11-07,sh.601390,5.9000,5.9100,5.8600,5.8700,5.9300,34547437,203012701.0000,3,0.185400,1,-1.011800,0
2019-11-08,sh.601390,5.8900,5.9000,5.8200,5.8300,5.8700,30661170,179433151.0000,3,0.164500,1,-0.681400,0
2019-11-11,sh.601390,5.8000,5.8000,5.6400,5.6500,5.8300,58860125,335456645.0000,3,0.315800,1,-3.087500,0
2019-11-12,sh.601390,5.6400,5.6600,5.6000,5.6400,5.6500,37939280,213562402.0000,3,0.203600,1,-0.177000,0
2019-11-13,sh.601390,5.6400,5.6500,5.5000,5.5600,5.6400,47856642,265910957.0000,3,0.256800,1,-1.418400,0
2019-11-14,sh.601390,5.5900,5.6600,5.5800,5.6000,5.5600,43094507,242333063.0000,3,0.231200,1,0.719400,0
2019-11-15,sh.601390,5.6000,5.6100,5.4900,5.5000,5.6000,37068889,205177524.0000,3,0.198900,1,-1.785700,0
2019-11-18,sh.601390,5.4900,5.5300,5.4500,5.5200,5.5000,29710106,163435070.0000,3,0.159400,1,0.363600,0
2019-11-19,sh.601390,5.5100,5.5700,5.5000,5.5700,5.5200,25140525,139220558.0000,3,0.134900,1,0.905800,0
2019-11-20,sh.601390,5.5400,5.5700,5.5000,5.5100,5.5700,23192920,128446825.0000,3,0.124400,1,-1.077200,0
2019-11-21,sh.601390,5.5000,5.5300,5.4700,5.5200,5.5100,24285309,133733462.0000,3,0.130300,1,0.181500,0
2019-11-22,sh.601390,5.5200,5.6600,5.5000,5.6100,5.5200,51977093,290355386.0000,3,0.278900,1,1.630400,0
2019-11-25,sh.601390,5.5900,5.8500,5.5800,5.8300,5.6100,108628793,627339405.0000,3,0.582900,1,3.921600,0
2019-11-26,sh.601390,5.8300,5.8300,5.7600,5.8000,5.8300,71482821,413861262.0000,3,0.383600,1,-0.514600,0
2019-11-27,sh.601390,5.7900,5.8000,5.7100,5.7100,5.8000,38962250,223922706.0000,3,0.209100,1,-1.551700,0
2019-11-28,sh.601390,5.7300,5.8000,5.7000,5.7100,5.7100,34719548,199483183.0000,3,0.186300,1,0.000000,0
2019-11-29,sh.601390,5.7200,5.7400,5.6400,5.6500,5.7100,37019009,210187350.0000,3,0.198600,1,-1.050800,0
2019-12-02,sh.601390,5.6500,5.6900,5.5900,5.6100,5.6500,37765361,212588409.0000,3,0.202600,1,-0.708000,0
2019-12-03,sh.601390,5.5800,5.6300,5.5400,5.6100,5.6100,31235393,174522390.0000,3,0.167600,1,0.000000,0
2019-12-04,sh.601390,5.5800,5.5900,5.5500,5.5800,5.6100,24698049,137581200.0000,3,0.132500,1,-0.534800,0
2019-12-05,sh.601390,5.6100,5.6300,5.5700,5.6000,5.5800,30187135,168993816.0000,3,0.162000,1,0.358400,0
2019-12-06,sh.601390,5.6000,5.6200,5.5700,5.6100,5.6000,23812653,133229521.0000,3,0.127800,1,0.178600,0
2019-12-09,sh.601390,5.6200,5.7100,5.6100,5.7000,5.6100,44689160,253745161.0000,3,0.239800,1,1.604300,0
2019-12-10,sh.601390,5.6900,5.7200,5.6600,5.7100,5.7000,26246197,149564280.0000,3,0.140800,1,0.175400,0
2019-12-11,sh.601390,5.7300,5.7500,5.6800,5.7200,5.7100,29440175,168542484.0000,3,0.158000,1,0.175100,0
2019-12-12,sh.601390,5.7200,5.7400,5.6900,5.7100,5.7200,23929900,136649576.0000,3,0.128400,1,-0.174800,0
2019-12-13,sh.601390,5.7400,5.7900,5.7200,5.7600,5.7100,34028906,195862774.0000,3,0.182600,1,0.875700,0
2019-12-16,sh.601390,5.7800,5.8300,5.7500,5.8200,5.7600,39836134,230706569.0000,3,0.213700,1,1.041700,0
2019-12-17,sh.601390,5.8300,5.9600,5.8200,5.9300,5.8200,60526498,357439995.0000,3,0.324800,1,1.890000,0
2019-12-18,sh.601390,5.9500,5.9600,5.8800,5.9000,5.9300,41092424,242821066.0000,3,0.220500,1,-0.505900,0
2019-12-19,sh.601390,5.9300,5.9600,5.9100,5.9200,5.9000,42060634,249564209.0000,3,0.225700,1,0.339000,0
2019-12-20,sh.601390,5.9100,5.9400,5.8800,5.8900,5.9200,28225339,166962918.0000,3,0.151400,1,-0.506800,0
2019-12-23,sh.601390,5.8900,5.9200,5.8100,5.8100,5.8900,27843141,163347573.0000,3,0.149400,1,-1.358200,0
2019-12-24,sh.601390,5.8200,5.8500,5.8000,5.8300,5.8100,16170506,94352590.0000,3,0.086800,1,0.344200,0
2019-12-25,sh.601390,5.8200,5.8700,5.8000,5.8400,5.8300,17200802,100446390.0000,3,0.092300,1,0.171500,0
2019-12-26,sh.601390,5.8300,5.9100,5.8200,5.8900,5.8400,19237086,113005527.0000,3,0.103200,1,0.856200,0
2019-12-27,sh.601390,5.8800,5.9300,5.8600,5.8600,5.8900,27893664,164609631.0000,3,0.149700,1,-0.509300,0
2019-12-30,sh.601390,5.8400,5.9200,5.8300,5.9100,5.8600,28668198,168985673.0000,3,0.153800,1,0.853200,0
2019-12-31,sh.601390,5.9000,5.9500,5.8900,5.9400,5.9100,33021738,195239497.0000,3,0.177200,1,0.507600,0
2020-01-02,sh.601390,5.9700,6.1500,5.9700,6.0600,5.9400,92091410,559850179.0000,3,0.494100,1,2.020200,0
2020-01-03,sh.601390,6.0800,6.1100,6.0000,6.0300,6.0600,63385792,383049262.0000,3,0.340100,1,-0.495000,0
2020-01-06,sh.601390,6.0000,6.0600,5.9500,5.9700,6.0300,67737687,406531533.0000,3,0.363500,1,-0.995000,0
2020-01-07,sh.601390,5.9800,6.0300,5.9700,6.0100,5.9700,43582679,261475499.0000,3,0.233900,1,0.670000,0
2020-01-08,sh.601390,5.9800,5.9900,5.9000,5.9100,6.0100,44719029,265608416.0000,3,0.239900,1,-1.663900,0
