date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-10-08,sh.600016,6.0000,6.1300,6.0000,6.0800,6.0200,82333599,501220216.0000,3,0.232200,1,0.996700,0
2019-10-09,sh.600016,6.0500,6.1600,6.0500,6.1400,6.0800,104760521,641806545.0000,3,0.295400,1,0.986800,0
2019-10-10,sh.600016,6.1300,6.1600,6.0900,6.1100,6.1400,72244247,442539826.0000,3,0.203700,1,-0.488600,0
2019-10-11,sh.600016,6.1300,6.1800,6.1000,6.1700,6.1100,108424462,666154697.0000,3,0.305700,1,0.982000,0
2019-10-14,sh.600016,6.1900,6.3700,6.1800,6.2700,6.1700,163231019,1023223653.0000,3,0.460300,1,1.620700,0
2019-10-15,sh.600016,6.2700,6.3000,6.2200,6.2600,6.2700,79433613,497218298.0000,3,0.224000,1,-0.159500,0
2019-10-16,sh.600016,6.2800,6.3400,6.2000,6.2300,6.2600,87523025,548084974.0000,3,0.246800,1,-0.479200,0
2019-10-17,sh.600016,6.2100,6.2600,6.2000,6.2200,6.2300,41361381,257516575.0000,3,0.116600,1,-0.160500,0
2019-10-18,sh.600016,6.2400,6.2800,6.0900,6.0900,6.2200,79339653,488926357.0000,3,0.223700,1,-2.090000,0
2019-10-21,sh.600016,6.0900,6.1700,6.0800,6.1500,6.0900,48354366,296352545.0000,3,0.136400,1,0.985200,0
2019-10-22,sh.600016,6.1800,6.1900,6.1400,6.1600,6.1500,44896815,276612366.0000,3,0.126600,1,0.162600,0
2019-10-23,sh.600016,6.1800,6.2000,6.1400,6.1400,6.1600,45682641,281620398.0000,3,0.128800,1,-0.324700,0
2019-10-24,sh.600016,6.1700,6.2400,6.1500,6.1900,6.1400,66808972,413784163.0000,3,0.188400,1,0.814300,0
2019-10-25,sh.600016,6.1900,6.2000,6.1400,6.1900,6.1900,45964144,283839177.0000,3,0.129600,1,0.000000,0
2019-10-28,sh.600016,6.1900,6.2500,6.1600,6.1800,6.1900,58015209,358825817.0000,3,0.163600,1,-0.161600,0
